# sample_id=  test_name=  started=2026-04-21T20:21:09.048970
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T20:21:08.689954,-0.36,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:09.690018,0.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:10.690083,1.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:11.690153,2.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:12.690217,3.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:13.690280,4.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:14.690342,5.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:15.690403,6.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:16.690468,7.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:17.690531,8.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:18.690600,9.64,24.75,24.75,23.81,0,warmup
2026-04-21T20:21:19.690655,10.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:20.690716,11.64,24.75,24.75,23.81,0,warmup
2026-04-21T20:21:21.690776,12.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:22.690833,13.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:23.690897,14.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:24.690962,15.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:25.691022,16.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:26.691085,17.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:27.691147,18.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:28.691208,19.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:29.691275,20.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:30.691359,21.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:31.691434,22.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:32.691513,23.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:33.691585,24.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:34.691659,25.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:35.691742,26.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:36.691806,27.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:37.691884,28.64,24.75,24.75,23.88,0,warmup
2026-04-21T20:21:38.691948,29.64,24.75,24.75,23.88,1,lamp_on
2026-04-21T20:21:39.692035,30.64,24.75,24.75,23.88,1,lamp_on
2026-04-21T20:21:40.692098,31.64,24.75,24.75,23.88,1,lamp_on
2026-04-21T20:21:41.692166,32.64,24.75,25.00,23.94,1,lamp_on
2026-04-21T20:21:42.692234,33.64,25.00,25.00,23.94,1,lamp_on
2026-04-21T20:21:43.692314,34.64,25.00,25.25,24.00,1,lamp_on
2026-04-21T20:21:44.692380,35.64,25.25,25.50,24.06,1,lamp_on
2026-04-21T20:21:45.692446,36.64,25.25,25.50,24.06,1,lamp_on
2026-04-21T20:21:46.692517,37.64,25.25,25.75,24.12,1,lamp_on
2026-04-21T20:21:47.692579,38.64,25.25,25.75,24.19,1,lamp_on
2026-04-21T20:21:48.692646,39.64,25.50,26.00,24.25,1,lamp_on
2026-04-21T20:21:49.692706,40.64,25.50,26.00,24.31,1,lamp_on
2026-04-21T20:21:50.692772,41.64,25.50,26.25,24.38,1,lamp_on
2026-04-21T20:21:51.692837,42.64,25.75,26.25,24.44,1,lamp_on
2026-04-21T20:21:52.692905,43.64,25.75,26.50,24.50,1,lamp_on
2026-04-21T20:21:53.692970,44.64,25.75,26.75,24.56,1,lamp_on
2026-04-21T20:21:54.693032,45.64,26.00,26.75,24.62,1,lamp_on
2026-04-21T20:21:55.693095,46.64,26.00,27.00,24.69,1,lamp_on
2026-04-21T20:21:56.693141,47.64,26.25,27.00,24.81,1,lamp_on
2026-04-21T20:21:57.693233,48.65,26.25,27.00,24.81,1,lamp_on
2026-04-21T20:21:58.693300,49.65,26.50,27.25,24.88,1,lamp_on
2026-04-21T20:21:59.693369,50.65,26.50,27.25,25.00,1,lamp_on
2026-04-21T20:22:00.693506,51.65,26.75,27.25,25.06,1,lamp_on
