# sample_id=White Control  test_name=Nike 50g tension  started=2026-04-21T21:35:30.787045
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T21:35:30.329609,-0.46,24.75,24.75,24.12,0,warmup
2026-04-21T21:35:31.329674,0.55,24.75,24.75,24.12,0,warmup
2026-04-21T21:35:32.329739,1.55,24.75,24.75,24.12,0,warmup
2026-04-21T21:35:33.329802,2.55,24.75,25.00,24.12,0,warmup
2026-04-21T21:35:34.329868,3.55,24.75,25.00,24.12,0,warmup
2026-04-21T21:35:35.329936,4.55,24.75,25.00,24.12,0,warmup
2026-04-21T21:35:36.330001,5.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:37.330066,6.55,24.75,25.00,24.06,0,warmup
2026-04-21T21:35:38.330127,7.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:39.330198,8.55,24.75,25.00,24.06,0,warmup
2026-04-21T21:35:40.330266,9.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:41.332254,10.55,24.75,25.00,24.12,0,warmup
2026-04-21T21:35:42.332320,11.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:43.332386,12.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:44.332451,13.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:45.332518,14.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:46.332577,15.55,24.75,25.00,24.06,0,warmup
2026-04-21T21:35:47.332645,16.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:48.332716,17.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:49.332781,18.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:50.332848,19.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:51.332911,20.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:52.332975,21.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:53.333033,22.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:54.333106,23.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:55.333180,24.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:56.333251,25.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:57.333317,26.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:58.333379,27.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:35:59.333447,28.55,24.75,24.75,24.06,0,warmup
2026-04-21T21:36:00.333516,29.55,24.75,24.75,24.06,1,lamp_on
2026-04-21T21:36:01.333581,30.55,24.75,24.75,24.06,1,lamp_on
2026-04-21T21:36:02.333649,31.55,24.75,24.75,24.06,1,lamp_on
2026-04-21T21:36:03.333720,32.55,24.75,25.00,24.12,1,lamp_on
2026-04-21T21:36:04.333792,33.55,24.75,25.00,24.12,1,lamp_on
2026-04-21T21:36:05.333859,34.55,25.00,25.00,24.12,1,lamp_on
2026-04-21T21:36:06.333921,35.55,25.00,25.00,24.19,1,lamp_on
2026-04-21T21:36:07.333991,36.55,25.00,25.00,24.19,1,lamp_on
2026-04-21T21:36:08.334059,37.55,25.00,25.25,24.25,1,lamp_on
2026-04-21T21:36:09.334123,38.55,25.00,25.25,24.25,1,lamp_on
2026-04-21T21:36:10.334313,39.55,25.00,25.50,24.31,1,lamp_on
2026-04-21T21:36:11.334419,40.55,25.25,25.50,24.38,1,lamp_on
2026-04-21T21:36:12.334511,41.55,25.25,25.50,24.38,1,lamp_on
2026-04-21T21:36:13.334580,42.55,25.25,25.75,24.44,1,lamp_on
2026-04-21T21:36:14.334646,43.55,25.25,25.75,24.50,1,lamp_on
2026-04-21T21:36:15.334716,44.55,25.25,25.75,24.56,1,lamp_on
2026-04-21T21:36:16.334783,45.55,25.50,25.75,24.56,1,lamp_on
2026-04-21T21:36:17.334811,46.55,25.25,25.75,24.62,1,lamp_on
2026-04-21T21:36:18.334878,47.55,25.50,26.00,24.69,1,lamp_on
2026-04-21T21:36:19.334955,48.55,25.50,26.00,24.75,1,lamp_on
2026-04-21T21:36:20.335021,49.55,25.50,26.00,24.75,1,lamp_on
2026-04-21T21:36:21.335087,50.55,25.50,26.00,24.81,1,lamp_on
2026-04-21T21:36:22.335152,51.55,25.75,26.25,24.88,1,lamp_on
2026-04-21T21:36:23.335221,52.55,25.75,26.25,24.94,1,lamp_on
2026-04-21T21:36:24.335288,53.55,25.75,26.25,24.94,1,lamp_on
2026-04-21T21:36:25.335356,54.55,25.75,26.25,25.00,1,lamp_on
2026-04-21T21:36:26.335426,55.55,25.75,26.25,25.06,1,lamp_on
2026-04-21T21:36:27.335494,56.55,25.75,26.50,25.12,1,lamp_on
2026-04-21T21:36:28.335555,57.55,26.00,26.50,25.12,1,lamp_on
2026-04-21T21:36:29.335624,58.55,26.00,26.50,25.19,1,lamp_on
2026-04-21T21:36:30.335696,59.55,26.00,26.50,25.25,1,lamp_on
2026-04-21T21:36:31.335759,60.55,26.00,26.50,25.31,1,lamp_on
2026-04-21T21:36:32.335828,61.55,26.25,26.50,25.31,1,lamp_on
2026-04-21T21:36:33.335894,62.55,26.25,26.75,25.38,1,lamp_on
2026-04-21T21:36:34.335960,63.55,26.25,26.75,25.44,1,lamp_on
2026-04-21T21:36:35.336031,64.55,26.25,26.75,25.50,1,lamp_on
2026-04-21T21:36:36.336090,65.55,26.25,26.75,25.56,1,lamp_on
2026-04-21T21:36:37.336156,66.55,26.25,27.00,25.62,1,lamp_on
2026-04-21T21:36:38.336227,67.55,26.50,27.00,25.69,1,lamp_on
2026-04-21T21:36:39.336294,68.55,26.50,27.00,25.69,1,lamp_on
2026-04-21T21:36:40.336360,69.55,26.50,27.25,25.75,1,lamp_on
2026-04-21T21:36:41.336420,70.55,26.50,27.25,25.81,1,lamp_on
2026-04-21T21:36:42.336485,71.55,26.50,27.25,25.81,1,lamp_on
2026-04-21T21:36:43.336550,72.55,26.75,27.25,25.88,1,lamp_on
2026-04-21T21:36:44.336608,73.55,26.75,27.25,25.94,1,lamp_on
2026-04-21T21:36:45.336673,74.55,26.75,27.25,26.00,1,lamp_on
2026-04-21T21:36:46.336745,75.55,26.75,27.50,26.06,1,lamp_on
2026-04-21T21:36:47.336806,76.55,26.75,27.25,26.06,1,lamp_on
2026-04-21T21:36:48.336870,77.55,27.00,27.50,26.12,1,lamp_on
2026-04-21T21:36:49.336940,78.55,27.00,27.50,26.19,1,lamp_on
2026-04-21T21:36:50.337009,79.55,27.00,27.50,26.25,1,lamp_on
