# sample_id=White Helios 3mg  test_name=Nike 50g tension  started=2026-04-21T21:56:46.237461
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T21:56:46.424641,0.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:47.424705,1.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:48.424774,2.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:49.424840,3.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:50.424906,4.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:56:51.424979,5.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:52.425045,6.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:56:53.425111,7.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:54.425176,8.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:55.425245,9.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:56.425310,10.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:57.425378,11.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:56:58.425446,12.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:56:59.425538,13.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:00.425606,14.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:01.425669,15.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:57:02.425733,16.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:03.425807,17.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:57:04.425871,18.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:05.425938,19.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:57:06.426006,20.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:07.426075,21.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:57:08.426142,22.19,24.75,25.00,23.81,0,warmup
2026-04-21T21:57:09.426213,23.19,24.75,25.00,23.88,0,warmup
2026-04-21T21:57:10.426277,24.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:11.426343,25.19,25.00,25.00,23.81,0,warmup
2026-04-21T21:57:12.426409,26.19,25.00,25.00,23.88,0,warmup
2026-04-21T21:57:13.426474,27.19,25.00,25.00,23.88,0,warmup
2026-04-21T21:57:14.426807,28.19,25.00,25.00,23.88,0,warmup
2026-04-21T21:57:15.426882,29.19,25.00,25.00,23.88,0,warmup
2026-04-21T21:57:16.426948,30.19,25.00,25.00,23.88,1,lamp_on
2026-04-21T21:57:17.427017,31.19,25.00,25.00,23.88,1,lamp_on
2026-04-21T21:57:18.427083,32.19,25.00,25.00,23.88,1,lamp_on
2026-04-21T21:57:19.427152,33.19,25.00,25.25,23.88,1,lamp_on
2026-04-21T21:57:20.427219,34.19,25.00,25.25,23.88,1,lamp_on
2026-04-21T21:57:21.427289,35.19,25.00,25.25,23.88,1,lamp_on
2026-04-21T21:57:22.427357,36.19,25.00,25.25,23.94,1,lamp_on
2026-04-21T21:57:23.427424,37.19,25.25,25.50,24.00,1,lamp_on
2026-04-21T21:57:24.427491,38.19,25.25,25.50,24.00,1,lamp_on
2026-04-21T21:57:25.427559,39.19,25.25,25.50,24.06,1,lamp_on
2026-04-21T21:57:26.427624,40.19,25.25,25.50,24.12,1,lamp_on
2026-04-21T21:57:27.427691,41.19,25.25,25.50,24.12,1,lamp_on
2026-04-21T21:57:28.427761,42.19,25.50,25.75,24.19,1,lamp_on
2026-04-21T21:57:29.427830,43.19,25.50,25.75,24.25,1,lamp_on
2026-04-21T21:57:30.427898,44.19,25.50,25.75,24.25,1,lamp_on
2026-04-21T21:57:31.427966,45.19,25.50,25.75,24.31,1,lamp_on
2026-04-21T21:57:32.428033,46.19,25.50,26.00,24.38,1,lamp_on
2026-04-21T21:57:33.428102,47.19,25.75,26.00,24.38,1,lamp_on
2026-04-21T21:57:34.428169,48.19,25.75,26.00,24.44,1,lamp_on
2026-04-21T21:57:35.428241,49.19,25.75,26.00,24.50,1,lamp_on
2026-04-21T21:57:36.428309,50.19,25.75,26.25,24.50,1,lamp_on
2026-04-21T21:57:37.428375,51.19,26.00,26.25,24.56,1,lamp_on
2026-04-21T21:57:38.428446,52.19,26.00,26.25,24.62,1,lamp_on
2026-04-21T21:57:39.428513,53.19,26.00,26.25,24.69,1,lamp_on
2026-04-21T21:57:40.429199,54.19,26.00,26.25,24.69,1,lamp_on
2026-04-21T21:57:41.429263,55.19,26.00,26.50,24.75,1,lamp_on
2026-04-21T21:57:42.429333,56.19,26.25,26.50,24.81,1,lamp_on
2026-04-21T21:57:43.429402,57.19,26.25,26.50,24.88,1,lamp_on
2026-04-21T21:57:44.429469,58.19,26.25,26.50,24.88,1,lamp_on
2026-04-21T21:57:45.429540,59.19,26.25,26.75,24.88,1,lamp_on
2026-04-21T21:57:46.429605,60.19,26.25,26.50,24.88,1,lamp_on
2026-04-21T21:57:47.429673,61.19,26.50,26.75,25.06,1,lamp_on
2026-04-21T21:57:48.429738,62.19,26.50,26.75,25.06,1,lamp_on
2026-04-21T21:57:49.429803,63.19,26.50,26.75,25.12,1,lamp_on
2026-04-21T21:57:50.429873,64.19,26.50,26.75,25.19,1,lamp_on
2026-04-21T21:57:51.429943,65.19,26.50,26.75,25.25,1,lamp_on
2026-04-21T21:57:52.430043,66.19,26.75,27.00,25.25,1,lamp_on
2026-04-21T21:57:53.430107,67.19,26.75,27.00,25.31,1,lamp_on
2026-04-21T21:57:54.430174,68.19,26.75,27.00,25.38,1,lamp_on
2026-04-21T21:57:55.430243,69.19,26.75,27.00,25.44,1,lamp_on
2026-04-21T21:57:56.430309,70.19,26.75,27.00,25.44,1,lamp_on
2026-04-21T21:57:57.430380,71.19,26.75,27.25,25.50,1,lamp_on
2026-04-21T21:57:58.430449,72.19,27.00,27.25,25.56,1,lamp_on
2026-04-21T21:57:59.430520,73.19,27.00,27.25,25.56,1,lamp_on
2026-04-21T21:58:00.430588,74.19,27.00,27.25,25.69,1,lamp_on
2026-04-21T21:58:01.430654,75.19,27.00,27.25,25.69,1,lamp_on
2026-04-21T21:58:02.430720,76.19,27.25,27.50,25.75,1,lamp_on
2026-04-21T21:58:03.430784,77.19,27.25,27.50,25.81,1,lamp_on
2026-04-21T21:58:04.430848,78.19,27.25,27.50,25.88,1,lamp_on
2026-04-21T21:58:05.430915,79.19,27.25,27.50,25.94,1,lamp_on
2026-04-21T21:58:06.430980,80.19,27.50,27.50,25.94,1,lamp_on
2026-04-21T21:58:07.431069,81.19,27.50,27.50,26.00,1,lamp_on
2026-04-21T21:58:08.431136,82.19,27.50,27.75,26.06,1,lamp_on
2026-04-21T21:58:09.431201,83.19,27.50,27.75,26.06,1,lamp_on
2026-04-21T21:58:10.431271,84.19,27.50,27.75,26.12,1,lamp_on
2026-04-21T21:58:11.431342,85.19,27.75,27.75,26.19,1,lamp_on
2026-04-21T21:58:12.431409,86.19,27.75,28.00,26.25,1,lamp_on
2026-04-21T21:58:13.431474,87.19,27.75,28.00,26.31,1,lamp_on
2026-04-21T21:58:14.431541,88.19,27.75,28.00,26.31,1,lamp_on
2026-04-21T21:58:15.431609,89.2,27.75,28.00,26.38,1,lamp_on
2026-04-21T21:58:16.431670,90.2,27.75,28.00,26.44,1,lamp_on
2026-04-21T21:58:17.431742,91.2,28.00,28.25,26.50,1,lamp_on
2026-04-21T21:58:18.431808,92.2,28.00,28.25,26.50,1,lamp_on
2026-04-21T21:58:19.431874,93.2,28.00,28.25,26.56,1,lamp_on
2026-04-21T21:58:20.431937,94.2,28.00,28.25,26.62,1,lamp_on
2026-04-21T21:58:21.432000,95.2,28.00,28.25,26.69,1,lamp_on
2026-04-21T21:58:22.432067,96.2,28.25,28.50,26.69,1,lamp_on
2026-04-21T21:58:23.432139,97.2,28.25,28.50,26.75,1,lamp_on
2026-04-21T21:58:24.432213,98.2,28.25,28.50,26.81,1,lamp_on
2026-04-21T21:58:25.432284,99.2,28.25,28.75,26.81,1,lamp_on
2026-04-21T21:58:26.432350,100.2,28.25,28.50,26.88,1,lamp_on
2026-04-21T21:58:27.432418,101.2,28.25,28.75,26.94,1,lamp_on
2026-04-21T21:58:28.432483,102.2,28.25,28.75,27.00,1,lamp_on
2026-04-21T21:58:29.432555,103.2,28.50,28.75,27.00,1,lamp_on
2026-04-21T21:58:30.432624,104.2,28.50,28.75,27.06,1,lamp_on
2026-04-21T21:58:31.432694,105.2,28.50,29.00,27.12,1,lamp_on
2026-04-21T21:58:32.432761,106.2,28.50,29.00,27.19,1,lamp_on
2026-04-21T21:58:33.432832,107.2,28.50,29.00,27.19,1,lamp_on
2026-04-21T21:58:34.432895,108.2,28.75,29.00,27.25,1,lamp_on
2026-04-21T21:58:35.432961,109.2,28.75,29.00,27.31,1,lamp_on
2026-04-21T21:58:36.433022,110.2,28.75,29.25,27.38,1,lamp_on
2026-04-21T21:58:37.433089,111.2,28.75,29.25,27.38,1,lamp_on
2026-04-21T21:58:38.433156,112.2,29.00,29.25,27.44,1,lamp_on
