# sample_id=Navy Control  test_name=Nike 50g tension  started=2026-04-21T22:39:51.073225
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T22:39:50.614645,-0.46,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:51.614709,0.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:52.614773,1.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:53.614843,2.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:54.614908,3.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:55.614978,4.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:56.615042,5.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:57.615108,6.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:58.615174,7.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:39:59.615243,8.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:00.615339,9.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:01.615424,10.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:02.615505,11.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:03.615587,12.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:04.615652,13.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:05.615721,14.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:06.615790,15.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:07.615862,16.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:08.615933,17.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:09.616002,18.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:10.616067,19.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:11.616131,20.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:12.616195,21.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:13.616263,22.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:14.616323,23.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:15.616400,24.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:16.616465,25.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:17.616532,26.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:18.616599,27.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:19.616666,28.54,24.75,25.00,23.94,0,warmup
2026-04-21T22:40:20.616734,29.54,24.75,25.00,23.94,1,lamp_on
2026-04-21T22:40:21.616800,30.54,24.75,25.00,23.94,1,lamp_on
2026-04-21T22:40:22.616879,31.54,24.75,25.00,24.00,1,lamp_on
2026-04-21T22:40:23.616954,32.54,25.00,25.25,24.00,1,lamp_on
2026-04-21T22:40:24.617020,33.54,25.00,25.25,24.00,1,lamp_on
2026-04-21T22:40:25.617087,34.54,25.00,25.25,24.00,1,lamp_on
2026-04-21T22:40:26.617159,35.54,25.00,25.50,24.06,1,lamp_on
2026-04-21T22:40:27.617230,36.54,25.25,25.50,24.12,1,lamp_on
2026-04-21T22:40:28.617301,37.54,25.25,25.50,24.12,1,lamp_on
2026-04-21T22:40:29.617374,38.54,25.25,25.50,24.19,1,lamp_on
2026-04-21T22:40:30.617445,39.54,25.50,25.50,24.19,1,lamp_on
2026-04-21T22:40:31.617516,40.54,25.50,25.50,24.25,1,lamp_on
2026-04-21T22:40:32.617581,41.54,25.50,25.75,24.25,1,lamp_on
2026-04-21T22:40:33.617646,42.54,25.50,25.75,24.31,1,lamp_on
2026-04-21T22:40:34.617717,43.54,25.50,26.00,24.38,1,lamp_on
2026-04-21T22:40:35.617788,44.54,25.75,26.00,24.38,1,lamp_on
2026-04-21T22:40:36.617850,45.54,25.75,26.00,24.44,1,lamp_on
2026-04-21T22:40:37.617913,46.54,25.75,26.00,24.50,1,lamp_on
2026-04-21T22:40:38.617976,47.55,25.75,26.00,24.50,1,lamp_on
2026-04-21T22:40:39.618040,48.55,25.75,26.00,24.56,1,lamp_on
2026-04-21T22:40:40.618108,49.55,26.00,26.00,24.62,1,lamp_on
2026-04-21T22:40:41.618172,50.55,26.00,26.25,24.69,1,lamp_on
2026-04-21T22:40:42.618241,51.55,26.00,26.25,24.69,1,lamp_on
2026-04-21T22:40:43.618310,52.55,26.00,26.25,24.75,1,lamp_on
2026-04-21T22:40:44.618375,53.55,26.25,26.25,24.81,1,lamp_on
2026-04-21T22:40:45.618440,54.55,26.25,26.50,24.88,1,lamp_on
2026-04-21T22:40:46.618508,55.55,26.25,26.50,24.88,1,lamp_on
2026-04-21T22:40:47.618581,56.55,26.25,26.50,24.94,1,lamp_on
2026-04-21T22:40:48.618648,57.55,26.50,26.50,24.94,1,lamp_on
2026-04-21T22:40:49.618716,58.55,26.50,26.75,25.06,1,lamp_on
2026-04-21T22:40:50.618786,59.55,26.50,26.75,25.06,1,lamp_on
2026-04-21T22:40:51.618856,60.55,26.50,26.75,25.12,1,lamp_on
2026-04-21T22:40:52.618925,61.55,26.75,26.75,25.19,1,lamp_on
2026-04-21T22:40:53.618988,62.55,26.75,26.75,25.19,1,lamp_on
2026-04-21T22:40:54.619063,63.55,26.75,26.75,25.25,1,lamp_on
2026-04-21T22:40:55.620234,64.55,26.75,27.00,25.31,1,lamp_on
2026-04-21T22:40:56.620308,65.55,27.00,27.00,25.31,1,lamp_on
2026-04-21T22:40:57.620368,66.55,27.00,27.00,25.38,1,lamp_on
2026-04-21T22:40:58.620434,67.55,27.00,27.00,25.44,1,lamp_on
2026-04-21T22:40:59.620500,68.55,27.00,27.25,25.44,1,lamp_on
