# sample_id=Navy Helios 3 mg  test_name=Nike 50g tension  started=2026-04-21T23:00:23.499341
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T23:00:22.727885,-0.77,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:23.727956,0.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:24.728257,1.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:25.728320,2.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:26.728385,3.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:27.728445,4.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:28.728502,5.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:29.728596,6.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:30.728654,7.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:31.728719,8.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:32.728780,9.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:33.728849,10.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:34.728943,11.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:35.728996,12.23,25.00,25.25,23.94,0,warmup
2026-04-21T23:00:36.729054,13.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:37.729129,14.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:38.729186,15.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:39.729279,16.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:40.729336,17.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:41.729403,18.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:42.729472,19.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:43.729534,20.23,25.00,25.50,24.00,0,warmup
2026-04-21T23:00:44.729602,21.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:45.729670,22.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:46.729731,23.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:47.729793,24.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:48.729854,25.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:49.729922,26.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:50.729985,27.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:51.730049,28.23,25.00,25.25,24.00,0,warmup
2026-04-21T23:00:52.730111,29.23,25.00,25.25,24.00,1,lamp_on
2026-04-21T23:00:53.730203,30.23,25.00,25.25,24.00,1,lamp_on
2026-04-21T23:00:54.730294,31.23,25.00,25.25,24.00,1,lamp_on
2026-04-21T23:00:55.730347,32.23,25.00,25.25,24.00,1,lamp_on
2026-04-21T23:00:56.730407,33.23,25.25,25.50,24.06,1,lamp_on
2026-04-21T23:00:57.730471,34.23,25.25,25.50,24.06,1,lamp_on
2026-04-21T23:00:58.730535,35.23,25.25,25.50,24.06,1,lamp_on
2026-04-21T23:00:59.730604,36.23,25.25,25.50,24.12,1,lamp_on
2026-04-21T23:01:00.730664,37.23,25.50,25.50,24.12,1,lamp_on
2026-04-21T23:01:01.730727,38.23,25.50,25.50,24.19,1,lamp_on
2026-04-21T23:01:02.730790,39.23,25.50,25.50,24.25,1,lamp_on
2026-04-21T23:01:03.730851,40.23,25.50,25.75,24.25,1,lamp_on
2026-04-21T23:01:04.730924,41.23,25.50,25.75,24.31,1,lamp_on
2026-04-21T23:01:05.730982,42.23,25.75,25.75,24.31,1,lamp_on
2026-04-21T23:01:06.731051,43.23,25.75,25.75,24.38,1,lamp_on
2026-04-21T23:01:07.731110,44.23,25.75,26.00,24.44,1,lamp_on
2026-04-21T23:01:08.731169,45.23,26.00,26.00,24.44,1,lamp_on
2026-04-21T23:01:09.731912,46.23,26.00,26.00,24.50,1,lamp_on
2026-04-21T23:01:10.731975,47.23,26.00,26.25,24.56,1,lamp_on
