# sample_id=Navy F1 3 mg  test_name=Nike 50g tension  started=2026-04-21T23:21:31.879194
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-21T23:21:31.827264,-0.05,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:32.827332,0.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:33.827400,1.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:34.827468,2.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:35.827533,3.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:36.827608,4.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:37.827675,5.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:38.827744,6.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:39.827813,7.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:40.829448,8.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:41.829514,9.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:42.829581,10.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:43.829651,11.95,25.00,25.50,24.19,0,warmup
2026-04-21T23:21:44.829718,12.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:45.829780,13.95,25.00,25.50,24.19,0,warmup
2026-04-21T23:21:46.829840,14.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:47.829900,15.95,25.00,25.50,24.19,0,warmup
2026-04-21T23:21:48.829969,16.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:49.830044,17.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:50.830111,18.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:51.830177,19.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:52.830246,20.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:53.830315,21.95,25.25,25.25,24.19,0,warmup
2026-04-21T23:21:54.830382,22.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:55.830542,23.95,25.00,25.50,24.19,0,warmup
2026-04-21T23:21:56.830608,24.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:57.830677,25.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:21:58.830744,26.95,25.00,25.50,24.19,0,warmup
2026-04-21T23:21:59.830813,27.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:22:00.830881,28.95,25.00,25.25,24.19,0,warmup
2026-04-21T23:22:01.830957,29.95,25.25,25.50,24.19,1,lamp_on
2026-04-21T23:22:02.831021,30.95,25.25,25.25,24.19,1,lamp_on
2026-04-21T23:22:03.831089,31.95,25.25,25.50,24.25,1,lamp_on
2026-04-21T23:22:04.831162,32.95,25.25,25.50,24.25,1,lamp_on
2026-04-21T23:22:05.831225,33.95,25.25,25.50,24.25,1,lamp_on
2026-04-21T23:22:06.831292,34.95,25.25,25.75,24.31,1,lamp_on
2026-04-21T23:22:07.831418,35.95,25.50,25.75,24.31,1,lamp_on
2026-04-21T23:22:08.831485,36.95,25.50,25.75,24.38,1,lamp_on
2026-04-21T23:22:09.831553,37.95,25.50,25.75,24.38,1,lamp_on
2026-04-21T23:22:10.831614,38.95,25.75,25.75,24.44,1,lamp_on
2026-04-21T23:22:11.831683,39.95,25.75,26.00,24.50,1,lamp_on
2026-04-21T23:22:12.831750,40.95,25.75,26.00,24.50,1,lamp_on
2026-04-21T23:22:13.831816,41.95,25.75,26.00,24.56,1,lamp_on
2026-04-21T23:22:14.831884,42.95,26.00,26.00,24.56,1,lamp_on
2026-04-21T23:22:15.831952,43.95,26.00,26.00,24.62,1,lamp_on
