# sample_id=Navy Control  test_name=Nike 5.g tension  started=2026-04-22T00:03:01.462197
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T00:03:01.003292,-0.46,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:02.003359,0.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:03.003424,1.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:04.003490,2.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:05.003559,3.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:06.003629,4.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:07.003695,5.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:08.003759,6.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:09.003821,7.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:10.003886,8.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:11.003949,9.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:12.004041,10.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:13.004107,11.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:14.004174,12.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:15.004239,13.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:16.004307,14.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:17.004375,15.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:18.004437,16.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:19.004505,17.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:20.004579,18.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:21.004644,19.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:22.004707,20.54,25.25,25.50,23.81,0,warmup
2026-04-22T00:03:23.004776,21.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:24.004843,22.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:25.004906,23.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:26.004976,24.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:27.005042,25.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:28.005109,26.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:29.005171,27.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:30.005235,28.54,25.25,25.50,23.88,0,warmup
2026-04-22T00:03:31.005926,29.54,25.25,25.50,23.88,1,lamp_on
2026-04-22T00:03:32.005999,30.54,25.25,25.50,23.88,1,lamp_on
2026-04-22T00:03:33.006062,31.54,25.50,25.50,23.88,1,lamp_on
2026-04-22T00:03:34.006132,32.54,25.25,25.75,23.88,1,lamp_on
2026-04-22T00:03:35.006199,33.54,25.50,25.75,23.94,1,lamp_on
2026-04-22T00:03:36.006263,34.54,25.50,25.75,23.94,1,lamp_on
2026-04-22T00:03:37.006327,35.54,25.75,25.75,24.00,1,lamp_on
2026-04-22T00:03:38.006391,36.54,25.50,25.75,24.00,1,lamp_on
2026-04-22T00:03:39.006460,37.54,25.75,26.00,24.00,1,lamp_on
2026-04-22T00:03:40.006529,38.54,25.75,25.75,24.06,1,lamp_on
2026-04-22T00:03:41.008231,39.55,25.75,26.00,24.12,1,lamp_on
2026-04-22T00:03:42.008291,40.55,25.75,26.00,24.12,1,lamp_on
2026-04-22T00:03:43.008360,41.55,25.75,26.00,24.19,1,lamp_on
2026-04-22T00:03:44.008423,42.55,26.00,26.00,24.19,1,lamp_on
2026-04-22T00:03:45.008486,43.55,26.00,26.00,24.25,1,lamp_on
2026-04-22T00:03:46.008554,44.55,26.00,26.25,24.25,1,lamp_on
2026-04-22T00:03:47.008621,45.55,26.00,26.25,24.25,1,lamp_on
2026-04-22T00:03:48.008687,46.55,26.25,26.25,24.38,1,lamp_on
2026-04-22T00:03:49.008753,47.55,26.25,26.25,24.38,1,lamp_on
2026-04-22T00:03:50.008822,48.55,26.25,26.50,24.44,1,lamp_on
2026-04-22T00:03:51.008890,49.55,26.25,26.50,24.50,1,lamp_on
2026-04-22T00:03:52.008956,50.55,26.25,26.50,24.50,1,lamp_on
2026-04-22T00:03:53.009029,51.55,26.50,26.50,24.56,1,lamp_on
2026-04-22T00:03:54.009092,52.55,26.50,26.50,24.62,1,lamp_on
2026-04-22T00:03:55.009169,53.55,26.50,26.50,24.62,1,lamp_on
2026-04-22T00:03:56.009232,54.55,26.50,26.50,24.69,1,lamp_on
2026-04-22T00:03:57.009291,55.55,26.75,26.75,24.69,1,lamp_on
2026-04-22T00:03:58.009357,56.55,26.50,26.75,24.75,1,lamp_on
2026-04-22T00:03:59.009431,57.55,26.75,26.75,24.81,1,lamp_on
2026-04-22T00:04:00.009505,58.55,26.75,26.75,24.88,1,lamp_on
2026-04-22T00:04:01.009574,59.55,26.75,26.75,24.88,1,lamp_on
2026-04-22T00:04:02.009639,60.55,26.75,27.00,24.94,1,lamp_on
2026-04-22T00:04:03.009709,61.55,26.75,26.75,25.00,1,lamp_on
2026-04-22T00:04:04.009773,62.55,26.75,27.00,25.00,1,lamp_on
2026-04-22T00:04:05.009840,63.55,27.00,27.00,25.06,1,lamp_on
2026-04-22T00:04:06.009927,64.55,27.00,27.00,25.06,1,lamp_on
2026-04-22T00:04:07.010012,65.55,27.00,27.00,25.12,1,lamp_on
2026-04-22T00:04:08.010080,66.55,27.00,27.00,25.19,1,lamp_on
2026-04-22T00:04:09.010143,67.55,27.25,27.00,25.19,1,lamp_on
2026-04-22T00:04:10.010211,68.55,27.00,27.25,25.25,1,lamp_on
2026-04-22T00:04:11.010279,69.55,27.25,27.25,25.31,1,lamp_on
2026-04-22T00:04:12.010346,70.55,27.25,27.25,25.31,1,lamp_on
2026-04-22T00:04:13.010411,71.55,27.25,27.25,25.31,1,lamp_on
2026-04-22T00:04:14.010483,72.55,27.25,27.25,25.44,1,lamp_on
2026-04-22T00:04:15.010549,73.55,27.25,27.25,25.44,1,lamp_on
2026-04-22T00:04:16.010612,74.55,27.50,27.50,25.50,1,lamp_on
2026-04-22T00:04:17.010676,75.55,27.50,27.25,25.56,1,lamp_on
2026-04-22T00:04:18.010743,76.55,27.50,27.50,25.56,1,lamp_on
2026-04-22T00:04:19.010810,77.55,27.50,27.50,25.62,1,lamp_on
2026-04-22T00:04:20.010877,78.55,27.50,27.50,25.69,1,lamp_on
2026-04-22T00:04:21.010947,79.55,27.75,27.75,25.75,1,lamp_on
2026-04-22T00:04:22.011015,80.55,27.75,27.75,25.75,1,lamp_on
2026-04-22T00:04:23.011083,81.55,27.75,27.75,25.81,1,lamp_on
2026-04-22T00:04:24.011144,82.55,27.75,27.75,25.88,1,lamp_on
2026-04-22T00:04:25.011211,83.55,27.75,27.75,25.88,1,lamp_on
2026-04-22T00:04:26.011276,84.55,27.75,28.00,25.94,1,lamp_on
2026-04-22T00:04:27.011350,85.55,28.00,27.75,26.00,1,lamp_on
2026-04-22T00:04:28.011420,86.55,28.00,28.00,26.06,1,lamp_on
2026-04-22T00:04:29.011484,87.55,28.00,28.00,26.06,1,lamp_on
2026-04-22T00:04:30.011548,88.55,28.00,28.00,26.12,1,lamp_on
2026-04-22T00:04:31.011614,89.55,28.00,28.00,26.19,1,lamp_on
2026-04-22T00:04:32.011680,90.55,28.25,28.00,26.19,1,lamp_on
2026-04-22T00:04:33.011748,91.55,28.25,28.25,26.19,1,lamp_on
2026-04-22T00:04:34.011814,92.55,28.25,28.25,26.31,1,lamp_on
2026-04-22T00:04:35.011888,93.55,28.25,28.25,26.38,1,lamp_on
2026-04-22T00:04:36.011956,94.55,28.25,28.25,26.38,1,lamp_on
2026-04-22T00:04:37.012021,95.55,28.25,28.25,26.44,1,lamp_on
2026-04-22T00:04:38.012083,96.55,28.50,28.50,26.50,1,lamp_on
2026-04-22T00:04:39.012148,97.55,28.50,28.25,26.56,1,lamp_on
2026-04-22T00:04:40.012213,98.55,28.50,28.50,26.56,1,lamp_on
2026-04-22T00:04:41.012277,99.55,28.50,28.50,26.62,1,lamp_on
2026-04-22T00:04:42.012346,100.55,28.50,28.50,26.69,1,lamp_on
2026-04-22T00:04:43.012420,101.55,28.50,28.75,26.69,1,lamp_on
2026-04-22T00:04:44.012492,102.55,28.50,28.75,26.75,1,lamp_on
2026-04-22T00:04:45.012565,103.55,28.75,28.75,26.81,1,lamp_on
2026-04-22T00:04:46.012624,104.55,28.75,28.75,26.81,1,lamp_on
2026-04-22T00:04:47.012685,105.55,28.75,28.75,26.88,1,lamp_on
2026-04-22T00:04:48.012750,106.55,28.75,28.75,26.94,1,lamp_on
2026-04-22T00:04:49.012817,107.55,28.75,29.00,27.00,1,lamp_on
2026-04-22T00:04:50.012885,108.55,28.75,29.00,27.06,1,lamp_on
2026-04-22T00:04:51.012955,109.55,29.00,29.00,27.06,1,lamp_on
2026-04-22T00:04:52.013025,110.55,29.00,29.00,27.12,1,lamp_on
2026-04-22T00:04:53.013090,111.55,29.00,29.00,27.12,1,lamp_on
2026-04-22T00:04:54.013156,112.55,29.00,29.00,27.19,1,lamp_on
2026-04-22T00:04:55.013219,113.55,29.00,29.00,27.25,1,lamp_on
2026-04-22T00:04:56.013282,114.55,29.25,29.00,27.31,1,lamp_on
2026-04-22T00:04:57.013346,115.55,29.25,29.00,27.31,1,lamp_on
2026-04-22T00:04:58.013418,116.55,29.25,29.00,27.38,1,lamp_on
2026-04-22T00:04:59.013479,117.55,29.25,29.25,27.44,1,lamp_on
2026-04-22T00:05:00.013547,118.55,29.25,29.25,27.44,1,lamp_on
2026-04-22T00:05:01.013608,119.55,29.50,29.25,27.50,1,lamp_on
2026-04-22T00:05:02.013676,120.55,29.50,29.25,27.56,1,lamp_on
2026-04-22T00:05:03.013738,121.55,29.50,29.50,27.56,1,lamp_on
2026-04-22T00:05:04.013807,122.55,29.50,29.25,27.62,1,lamp_on
2026-04-22T00:05:05.013880,123.55,29.50,29.50,27.69,1,lamp_on
2026-04-22T00:05:06.013940,124.55,29.75,29.50,27.69,1,lamp_on
2026-04-22T00:05:07.014006,125.55,29.75,29.50,27.75,1,lamp_on
2026-04-22T00:05:08.014066,126.55,29.75,29.50,27.81,1,lamp_on
2026-04-22T00:05:09.014130,127.55,29.75,29.75,27.81,1,lamp_on
2026-04-22T00:05:10.014199,128.55,29.75,29.75,27.88,1,lamp_on
2026-04-22T00:05:11.014274,129.55,29.75,29.75,27.94,1,lamp_on
2026-04-22T00:05:12.014346,130.55,30.00,29.75,28.00,1,lamp_on
2026-04-22T00:05:13.014409,131.55,30.00,29.75,28.00,1,lamp_on
2026-04-22T00:05:14.014477,132.55,30.00,29.75,28.06,1,lamp_on
2026-04-22T00:05:15.014547,133.55,30.00,29.75,28.12,1,lamp_on
2026-04-22T00:05:16.014610,134.55,30.00,29.75,28.12,1,lamp_on
2026-04-22T00:05:17.014672,135.55,30.00,30.00,28.12,1,lamp_on
2026-04-22T00:05:18.014749,136.55,30.00,30.00,28.19,1,lamp_on
2026-04-22T00:05:19.014809,137.55,30.25,30.00,28.25,1,lamp_on
