# sample_id=Navy F1 3mg  test_name=Nike 5.g tension  started=2026-04-22T00:21:10.929369
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T00:21:11.085792,0.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:12.085861,1.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:13.085928,2.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:14.085995,3.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:15.086062,4.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:16.086127,5.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:17.086193,6.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:18.086263,7.16,25.00,25.25,23.62,0,warmup
2026-04-22T00:21:19.086335,8.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:20.086405,9.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:21.086467,10.16,24.75,25.25,23.62,0,warmup
2026-04-22T00:21:22.086536,11.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:23.086605,12.16,25.00,25.00,23.62,0,warmup
2026-04-22T00:21:24.086672,13.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:25.086739,14.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:26.086813,15.16,24.75,25.25,23.69,0,warmup
2026-04-22T00:21:27.086883,16.16,24.75,25.00,23.69,0,warmup
2026-04-22T00:21:28.086952,17.16,24.75,25.00,23.62,0,warmup
2026-04-22T00:21:29.087020,18.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:30.087086,19.16,24.75,25.25,23.69,0,warmup
2026-04-22T00:21:31.087152,20.16,24.75,25.00,23.69,0,warmup
2026-04-22T00:21:32.087219,21.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:33.087290,22.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:34.087356,23.16,25.00,25.00,23.69,0,warmup
2026-04-22T00:21:35.087426,24.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:36.087494,25.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:37.087565,26.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:38.087629,27.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:39.087699,28.16,25.00,25.00,23.69,0,warmup
2026-04-22T00:21:40.087768,29.16,25.00,25.25,23.69,0,warmup
2026-04-22T00:21:41.087843,30.16,25.00,25.25,23.69,1,lamp_on
2026-04-22T00:21:42.088286,31.16,25.00,25.25,23.69,1,lamp_on
2026-04-22T00:21:43.088346,32.16,25.00,25.25,23.69,1,lamp_on
2026-04-22T00:21:44.088409,33.16,25.25,25.25,23.75,1,lamp_on
2026-04-22T00:21:45.088481,34.16,25.00,25.25,23.75,1,lamp_on
2026-04-22T00:21:46.088547,35.16,25.25,25.25,23.75,1,lamp_on
2026-04-22T00:21:47.088620,36.16,25.25,25.25,23.81,1,lamp_on
2026-04-22T00:21:48.088687,37.16,25.25,25.50,23.81,1,lamp_on
2026-04-22T00:21:49.088753,38.16,25.25,25.50,23.88,1,lamp_on
2026-04-22T00:21:50.088817,39.16,25.25,25.50,23.88,1,lamp_on
2026-04-22T00:21:51.088879,40.16,25.50,25.50,23.94,1,lamp_on
2026-04-22T00:21:52.088944,41.16,25.50,25.75,23.94,1,lamp_on
2026-04-22T00:21:53.089016,42.16,25.50,25.75,24.00,1,lamp_on
2026-04-22T00:21:54.089084,43.16,25.50,25.75,24.00,1,lamp_on
2026-04-22T00:21:55.089156,44.16,25.75,25.75,24.06,1,lamp_on
2026-04-22T00:21:56.089219,45.16,25.75,25.75,24.12,1,lamp_on
2026-04-22T00:21:57.089281,46.16,25.75,25.75,24.12,1,lamp_on
2026-04-22T00:21:58.089343,47.16,25.75,26.00,24.19,1,lamp_on
2026-04-22T00:21:59.089413,48.16,25.75,26.00,24.25,1,lamp_on
2026-04-22T00:22:00.089478,49.16,25.75,26.00,24.25,1,lamp_on
2026-04-22T00:22:01.089550,50.16,26.00,26.00,24.31,1,lamp_on
2026-04-22T00:22:02.089616,51.16,26.00,26.00,24.31,1,lamp_on
2026-04-22T00:22:03.089678,52.16,26.00,26.00,24.38,1,lamp_on
2026-04-22T00:22:04.089748,53.16,26.00,26.25,24.44,1,lamp_on
2026-04-22T00:22:05.089811,54.16,26.25,26.25,24.44,1,lamp_on
2026-04-22T00:22:06.089874,55.16,26.25,26.25,24.50,1,lamp_on
2026-04-22T00:22:07.089939,56.16,26.25,26.25,24.50,1,lamp_on
2026-04-22T00:22:08.090002,57.16,26.25,26.25,24.56,1,lamp_on
