# sample_id=Navy Helios 2X3mg  test_name=Nike 5.g tension  started=2026-04-22T00:43:27.576838
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T00:43:27.180568,-0.4,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:28.180634,0.6,24.50,25.00,23.69,0,warmup
2026-04-22T00:43:29.180695,1.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:30.180760,2.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:31.180823,3.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:32.180883,4.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:33.180946,5.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:34.181013,6.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:35.181079,7.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:36.181139,8.6,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:37.181201,9.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:38.181264,10.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:39.181332,11.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:40.181404,12.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:41.181475,13.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:42.181541,14.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:43.181607,15.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:44.181674,16.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:45.181743,17.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:46.181809,18.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:47.181882,19.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:48.181949,20.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:49.182016,21.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:50.182086,22.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:51.182153,23.61,24.75,25.25,23.69,0,warmup
2026-04-22T00:43:52.182220,24.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:53.182293,25.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:54.182360,26.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:55.182429,27.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:56.182495,28.61,24.75,25.00,23.69,0,warmup
2026-04-22T00:43:57.182565,29.61,24.75,25.00,23.69,1,lamp_on
2026-04-22T00:43:58.182812,30.61,24.75,25.00,23.69,1,lamp_on
2026-04-22T00:43:59.182874,31.61,24.75,25.00,23.75,1,lamp_on
2026-04-22T00:44:00.182944,32.61,25.00,25.00,23.75,1,lamp_on
2026-04-22T00:44:01.183010,33.61,25.00,25.25,23.75,1,lamp_on
2026-04-22T00:44:02.183076,34.61,25.00,25.25,23.75,1,lamp_on
2026-04-22T00:44:03.183143,35.61,25.00,25.25,23.81,1,lamp_on
