# sample_id=Navy Helios Spray (A1)  test_name=Nike 5.g tension  started=2026-04-22T09:19:00.181423
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T09:18:59.388745,-0.79,24.00,24.00,23.62,0,warmup
2026-04-22T09:19:00.388816,0.21,24.00,24.00,23.62,0,warmup
2026-04-22T09:19:01.388882,1.21,24.00,24.00,23.62,0,warmup
2026-04-22T09:19:02.388949,2.21,23.75,24.00,23.62,0,warmup
2026-04-22T09:19:03.389013,3.21,24.00,24.00,23.62,0,warmup
2026-04-22T09:19:04.389079,4.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:05.389145,5.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:06.389207,6.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:07.389272,7.21,23.75,24.00,23.62,0,warmup
2026-04-22T09:19:08.389338,8.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:09.389399,9.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:10.389464,10.21,23.75,24.25,23.69,0,warmup
2026-04-22T09:19:11.389526,11.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:12.389588,12.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:13.389652,13.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:14.389714,14.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:15.389778,15.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:16.389847,16.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:17.389910,17.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:18.389976,18.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:19.390045,19.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:20.390117,20.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:21.390184,21.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:22.390257,22.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:23.390329,23.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:24.390396,24.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:25.390466,25.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:26.390534,26.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:27.390602,27.21,24.00,24.00,23.69,0,warmup
2026-04-22T09:19:28.390672,28.21,23.75,24.00,23.69,0,warmup
2026-04-22T09:19:29.390745,29.21,23.75,24.00,23.69,1,lamp_on
2026-04-22T09:19:30.390845,30.21,24.00,24.00,23.75,1,lamp_on
2026-04-22T09:19:31.390908,31.21,24.00,24.00,23.69,1,lamp_on
2026-04-22T09:19:32.390975,32.21,24.00,24.25,23.75,1,lamp_on
2026-04-22T09:19:33.391043,33.21,24.00,24.00,23.75,1,lamp_on
2026-04-22T09:19:34.391109,34.21,24.00,24.25,23.75,1,lamp_on
2026-04-22T09:19:35.391180,35.21,24.25,24.25,23.81,1,lamp_on
2026-04-22T09:19:36.391248,36.21,24.25,24.50,23.81,1,lamp_on
2026-04-22T09:19:37.391310,37.21,24.25,24.50,23.81,1,lamp_on
2026-04-22T09:19:38.391374,38.21,24.25,24.50,23.88,1,lamp_on
2026-04-22T09:19:39.391441,39.21,24.25,24.50,23.88,1,lamp_on
2026-04-22T09:19:40.391508,40.21,24.25,24.50,23.94,1,lamp_on
