# sample_id=Navy F1 Spray (A1)  test_name=Nike 5.g tension  started=2026-04-22T09:42:14.753741
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T09:42:14.492811,-0.26,25.00,24.75,23.75,0,warmup
2026-04-22T09:42:15.492880,0.74,24.75,25.00,23.81,0,warmup
2026-04-22T09:42:16.492946,1.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:17.493014,2.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:18.493084,3.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:19.493157,4.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:20.493229,5.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:21.493298,6.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:22.493364,7.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:23.493434,8.74,25.00,24.75,23.81,0,warmup
2026-04-22T09:42:24.493499,9.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:25.493565,10.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:26.493632,11.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:27.493705,12.74,25.00,24.75,23.81,0,warmup
2026-04-22T09:42:28.493776,13.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:29.493845,14.74,24.75,25.00,23.81,0,warmup
2026-04-22T09:42:30.493914,15.74,24.75,25.00,23.81,0,warmup
2026-04-22T09:42:31.493982,16.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:32.494049,17.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:33.494123,18.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:34.494188,19.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:35.494258,20.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:36.494324,21.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:37.494393,22.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:38.494462,23.74,25.00,24.75,23.81,0,warmup
2026-04-22T09:42:39.494536,24.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:40.494602,25.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:41.494671,26.74,25.00,24.75,23.81,0,warmup
2026-04-22T09:42:42.494738,27.74,25.00,25.00,23.81,0,warmup
2026-04-22T09:42:43.494805,28.74,24.75,24.75,23.81,0,warmup
2026-04-22T09:42:44.494875,29.74,24.75,24.75,23.81,1,lamp_on
2026-04-22T09:42:45.494940,30.74,25.00,24.75,23.81,1,lamp_on
2026-04-22T09:42:46.495006,31.74,25.00,25.00,23.81,1,lamp_on
2026-04-22T09:42:47.495072,32.74,25.00,25.00,23.88,1,lamp_on
2026-04-22T09:42:48.495169,33.74,25.00,25.00,23.88,1,lamp_on
2026-04-22T09:42:49.495241,34.74,25.00,25.00,23.88,1,lamp_on
2026-04-22T09:42:50.495304,35.74,25.00,25.00,23.94,1,lamp_on
2026-04-22T09:42:51.495368,36.74,25.25,25.00,23.94,1,lamp_on
2026-04-22T09:42:52.495433,37.74,25.25,25.25,24.00,1,lamp_on
2026-04-22T09:42:53.500260,38.75,25.25,25.25,24.00,1,lamp_on
2026-04-22T09:42:54.500326,39.75,25.25,25.50,24.06,1,lamp_on
2026-04-22T09:42:55.500397,40.75,25.25,25.50,24.06,1,lamp_on
2026-04-22T09:42:56.500465,41.75,25.50,25.50,24.12,1,lamp_on
2026-04-22T09:42:57.500539,42.75,25.50,25.50,24.12,1,lamp_on
2026-04-22T09:42:58.500606,43.75,25.50,25.50,24.19,1,lamp_on
2026-04-22T09:42:59.500668,44.75,25.50,25.50,24.25,1,lamp_on
2026-04-22T09:43:00.500735,45.75,25.75,25.50,24.25,1,lamp_on
2026-04-22T09:43:01.500808,46.75,25.75,25.75,24.31,1,lamp_on
2026-04-22T09:43:02.500873,47.75,25.75,25.75,24.31,1,lamp_on
2026-04-22T09:43:03.500941,48.75,26.00,25.75,24.31,1,lamp_on
2026-04-22T09:43:04.501002,49.75,25.75,25.75,24.44,1,lamp_on
2026-04-22T09:43:05.501070,50.75,26.00,25.75,24.44,1,lamp_on
2026-04-22T09:43:06.501134,51.75,26.00,26.00,24.50,1,lamp_on
2026-04-22T09:43:07.501206,52.75,26.00,26.00,24.56,1,lamp_on
2026-04-22T09:43:08.501275,53.75,26.00,26.00,24.56,1,lamp_on
2026-04-22T09:43:09.501342,54.75,26.00,26.00,24.62,1,lamp_on
2026-04-22T09:43:10.501408,55.75,26.00,26.00,24.69,1,lamp_on
2026-04-22T09:43:11.501473,56.75,26.25,26.00,24.75,1,lamp_on
2026-04-22T09:43:12.501537,57.75,26.25,26.00,24.75,1,lamp_on
2026-04-22T09:43:13.501610,58.75,26.25,26.25,24.81,1,lamp_on
2026-04-22T09:43:14.501678,59.75,26.25,26.25,24.81,1,lamp_on
