# sample_id=Navy Helios X2 Spray (A1)  test_name=Nike 5.g tension  started=2026-04-22T10:19:37.525482
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T10:19:37.656930,0.13,24.50,24.50,23.75,0,warmup
2026-04-22T10:19:38.656997,1.13,24.50,24.50,23.69,0,warmup
2026-04-22T10:19:39.657057,2.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:40.657124,3.13,24.50,24.50,23.69,0,warmup
2026-04-22T10:19:41.657190,4.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:42.657260,5.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:43.657326,6.13,24.50,24.75,23.69,0,warmup
2026-04-22T10:19:44.657392,7.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:45.657461,8.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:46.657529,9.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:47.657592,10.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:48.657657,11.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:49.657714,12.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:50.657789,13.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:51.657853,14.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:52.657920,15.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:53.657988,16.13,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:54.660251,17.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:19:55.660315,18.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:19:56.660380,19.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:19:57.660452,20.14,24.50,24.75,23.75,0,warmup
2026-04-22T10:19:58.660518,21.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:19:59.660583,22.14,24.50,24.75,23.75,0,warmup
2026-04-22T10:20:00.660647,23.14,24.50,24.75,23.75,0,warmup
2026-04-22T10:20:01.660716,24.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:20:02.660785,25.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:20:03.660852,26.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:20:04.660920,27.14,24.50,24.75,23.75,0,warmup
2026-04-22T10:20:05.660986,28.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:20:06.661056,29.14,24.50,24.50,23.75,0,warmup
2026-04-22T10:20:07.661126,30.14,24.50,24.50,23.75,1,lamp_on
2026-04-22T10:20:08.661192,31.14,24.50,24.75,23.75,1,lamp_on
2026-04-22T10:20:09.661262,32.14,24.75,24.50,23.75,1,lamp_on
2026-04-22T10:20:10.661351,33.14,24.75,24.75,23.75,1,lamp_on
2026-04-22T10:20:11.661419,34.14,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:20:12.661485,35.14,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:20:13.661551,36.14,24.75,24.75,23.88,1,lamp_on
2026-04-22T10:20:14.661617,37.14,25.00,24.75,23.88,1,lamp_on
2026-04-22T10:20:15.661684,38.14,25.00,24.75,23.88,1,lamp_on
2026-04-22T10:20:16.661748,39.14,25.00,25.00,23.94,1,lamp_on
2026-04-22T10:20:17.661821,40.14,25.00,25.00,24.00,1,lamp_on
2026-04-22T10:20:18.661888,41.14,25.25,25.00,24.00,1,lamp_on
2026-04-22T10:20:19.661954,42.14,25.25,25.00,24.06,1,lamp_on
2026-04-22T10:20:20.662033,43.14,25.25,25.25,24.06,1,lamp_on
2026-04-22T10:20:21.662101,44.14,25.25,25.25,24.12,1,lamp_on
2026-04-22T10:20:22.662164,45.14,25.25,25.00,24.12,1,lamp_on
2026-04-22T10:20:23.662232,46.14,25.25,25.25,24.19,1,lamp_on
2026-04-22T10:20:24.662307,47.14,25.50,25.25,24.19,1,lamp_on
2026-04-22T10:20:25.662374,48.14,25.50,25.25,24.25,1,lamp_on
2026-04-22T10:20:26.662440,49.14,25.50,25.25,24.25,1,lamp_on
2026-04-22T10:20:27.662507,50.14,25.50,25.50,24.31,1,lamp_on
2026-04-22T10:20:28.662575,51.14,25.50,25.50,24.31,1,lamp_on
2026-04-22T10:20:29.662643,52.14,25.75,25.50,24.38,1,lamp_on
2026-04-22T10:20:30.662719,53.14,25.75,25.50,24.44,1,lamp_on
2026-04-22T10:20:31.662789,54.14,25.75,25.75,24.44,1,lamp_on
2026-04-22T10:20:32.662857,55.14,25.75,25.75,24.50,1,lamp_on
2026-04-22T10:20:33.662928,56.14,25.75,25.75,24.56,1,lamp_on
2026-04-22T10:20:34.662997,57.14,25.75,25.75,24.56,1,lamp_on
2026-04-22T10:20:35.663064,58.14,25.75,25.75,24.62,1,lamp_on
2026-04-22T10:20:36.663133,59.14,25.75,26.00,24.62,1,lamp_on
