# sample_id=Navy Control (A1)  test_name=Nike 5.g tension  started=2026-04-22T10:41:58.486782
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T10:41:57.781307,-0.7,24.50,24.75,23.75,0,warmup
2026-04-22T10:41:58.781377,0.3,24.50,24.75,23.75,0,warmup
2026-04-22T10:41:59.781444,1.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:00.781514,2.3,24.50,24.75,23.75,0,warmup
2026-04-22T10:42:01.781577,3.3,24.50,25.00,23.75,0,warmup
2026-04-22T10:42:02.781644,4.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:03.781710,5.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:04.781780,6.3,24.50,24.75,23.75,0,warmup
2026-04-22T10:42:05.781840,7.3,24.50,24.75,23.75,0,warmup
2026-04-22T10:42:06.781912,8.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:07.781973,9.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:08.782039,10.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:09.782989,11.3,24.50,24.75,23.75,0,warmup
2026-04-22T10:42:10.783052,12.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:11.783116,13.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:12.783186,14.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:13.783250,15.3,24.75,24.75,23.75,0,warmup
2026-04-22T10:42:14.783331,16.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:15.783398,17.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:16.783464,18.3,24.75,25.00,23.75,0,warmup
2026-04-22T10:42:17.783525,19.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:18.783597,20.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:19.783663,21.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:20.783727,22.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:21.783794,23.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:22.783855,24.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:23.783915,25.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:24.783984,26.3,24.50,24.75,23.81,0,warmup
2026-04-22T10:42:25.784046,27.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:26.784113,28.3,24.75,24.75,23.81,0,warmup
2026-04-22T10:42:27.784180,29.3,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:42:28.784299,30.3,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:42:29.784740,31.3,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:42:30.784810,32.3,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:42:31.784871,33.3,24.75,24.75,23.81,1,lamp_on
2026-04-22T10:42:32.784934,34.3,24.75,25.00,23.88,1,lamp_on
2026-04-22T10:42:33.785000,35.3,24.75,25.00,23.88,1,lamp_on
2026-04-22T10:42:34.785071,36.3,25.00,25.00,23.94,1,lamp_on
2026-04-22T10:42:35.785136,37.3,25.00,25.25,23.94,1,lamp_on
2026-04-22T10:42:36.785202,38.3,25.25,25.25,24.00,1,lamp_on
2026-04-22T10:42:37.785262,39.3,25.25,25.25,24.00,1,lamp_on
2026-04-22T10:42:38.785329,40.3,25.25,25.50,24.00,1,lamp_on
2026-04-22T10:42:39.785397,41.3,25.25,25.25,24.06,1,lamp_on
2026-04-22T10:42:40.785458,42.3,25.25,25.50,24.12,1,lamp_on
2026-04-22T10:42:41.785522,43.3,25.50,25.50,24.12,1,lamp_on
2026-04-22T10:42:42.785591,44.3,25.50,25.50,24.19,1,lamp_on
2026-04-22T10:42:43.785655,45.3,25.50,25.50,24.19,1,lamp_on
2026-04-22T10:42:44.785723,46.3,25.50,25.50,24.25,1,lamp_on
2026-04-22T10:42:45.785791,47.3,25.50,25.75,24.31,1,lamp_on
2026-04-22T10:42:46.785860,48.3,25.50,25.75,24.31,1,lamp_on
2026-04-22T10:42:47.785928,49.3,25.75,25.75,24.38,1,lamp_on
2026-04-22T10:42:48.785998,50.3,25.75,25.75,24.44,1,lamp_on
2026-04-22T10:42:49.786066,51.3,25.75,25.75,24.44,1,lamp_on
2026-04-22T10:42:50.786136,52.3,25.75,25.75,24.50,1,lamp_on
2026-04-22T10:42:51.786201,53.3,25.75,25.75,24.56,1,lamp_on
2026-04-22T10:42:52.786264,54.3,26.00,26.00,24.56,1,lamp_on
2026-04-22T10:42:53.786330,55.3,26.00,26.00,24.62,1,lamp_on
2026-04-22T10:42:54.786399,56.3,26.00,26.00,24.69,1,lamp_on
2026-04-22T10:42:55.786465,57.3,26.00,26.25,24.69,1,lamp_on
2026-04-22T10:42:56.786539,58.3,26.00,26.25,24.75,1,lamp_on
2026-04-22T10:42:57.786600,59.3,26.00,26.25,24.81,1,lamp_on
2026-04-22T10:42:58.786670,60.3,26.00,26.25,24.81,1,lamp_on
2026-04-22T10:42:59.786738,61.3,26.25,26.25,24.88,1,lamp_on
2026-04-22T10:43:00.786799,62.3,26.25,26.25,24.94,1,lamp_on
2026-04-22T10:43:01.786865,63.3,26.25,26.25,24.94,1,lamp_on
2026-04-22T10:43:02.786939,64.3,26.25,26.50,25.00,1,lamp_on
2026-04-22T10:43:03.787003,65.3,26.50,26.50,25.06,1,lamp_on
2026-04-22T10:43:04.787070,66.3,26.50,26.50,25.06,1,lamp_on
2026-04-22T10:43:05.787135,67.3,26.50,26.50,25.12,1,lamp_on
2026-04-22T10:43:06.787200,68.3,26.50,26.50,25.19,1,lamp_on
2026-04-22T10:43:07.787268,69.3,26.50,26.75,25.25,1,lamp_on
2026-04-22T10:43:08.787335,70.3,26.50,26.75,25.25,1,lamp_on
2026-04-22T10:43:09.787406,71.3,26.75,26.75,25.31,1,lamp_on
2026-04-22T10:43:10.787471,72.3,26.75,26.75,25.38,1,lamp_on
2026-04-22T10:43:11.787539,73.3,26.75,26.75,25.38,1,lamp_on
2026-04-22T10:43:12.787600,74.3,26.75,26.75,25.44,1,lamp_on
2026-04-22T10:43:13.787668,75.3,26.75,26.75,25.50,1,lamp_on
2026-04-22T10:43:14.787740,76.3,26.75,27.00,25.50,1,lamp_on
2026-04-22T10:43:15.787812,77.3,27.00,27.00,25.56,1,lamp_on
2026-04-22T10:43:16.787881,78.3,27.00,27.00,25.62,1,lamp_on
2026-04-22T10:43:17.787946,79.3,27.00,27.00,25.69,1,lamp_on
2026-04-22T10:43:18.788011,80.3,27.00,27.00,25.69,1,lamp_on
2026-04-22T10:43:19.788080,81.3,27.25,27.25,25.75,1,lamp_on
2026-04-22T10:43:20.788138,82.3,27.25,27.00,25.81,1,lamp_on
2026-04-22T10:43:21.788217,83.3,27.25,27.25,25.88,1,lamp_on
2026-04-22T10:43:22.788279,84.3,27.25,27.25,25.88,1,lamp_on
2026-04-22T10:43:23.788348,85.3,27.25,27.25,25.88,1,lamp_on
2026-04-22T10:43:24.788416,86.3,27.25,27.25,25.88,1,lamp_on
2026-04-22T10:43:25.788483,87.3,27.50,27.25,26.00,1,lamp_on
2026-04-22T10:43:26.788550,88.3,27.50,27.25,26.06,1,lamp_on
2026-04-22T10:43:27.788622,89.3,27.50,27.50,26.12,1,lamp_on
2026-04-22T10:43:28.788684,90.3,27.50,27.50,26.12,1,lamp_on
2026-04-22T10:43:29.788754,91.3,27.50,27.50,26.19,1,lamp_on
