# sample_id=Navy Helios Spray X2 (A1)  test_name=Nike 5.g tension  started=2026-04-22T12:08:47.228523
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T12:08:47.162148,-0.07,24.50,24.25,23.75,0,warmup
2026-04-22T12:08:48.162216,0.93,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:49.162281,1.93,24.25,24.50,23.75,0,warmup
2026-04-22T12:08:50.162344,2.93,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:51.162411,3.93,24.25,24.50,23.75,0,warmup
2026-04-22T12:08:52.162481,4.93,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:53.162543,5.93,24.25,24.50,23.75,0,warmup
2026-04-22T12:08:54.162605,6.93,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:55.162674,7.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:56.164264,8.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:57.164330,9.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:08:58.164398,10.94,24.25,24.50,23.75,0,warmup
2026-04-22T12:08:59.164463,11.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:00.164529,12.94,24.25,24.50,23.75,0,warmup
2026-04-22T12:09:01.164594,13.94,24.25,24.50,23.75,0,warmup
2026-04-22T12:09:02.164654,14.94,24.25,24.25,23.75,0,warmup
2026-04-22T12:09:03.164721,15.94,24.25,24.25,23.75,0,warmup
2026-04-22T12:09:04.164792,16.94,24.25,24.50,23.75,0,warmup
2026-04-22T12:09:05.164859,17.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:06.164922,18.94,24.25,24.50,23.75,0,warmup
2026-04-22T12:09:07.164988,19.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:08.165055,20.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:09.165122,21.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:10.165191,22.94,24.50,24.50,23.75,0,warmup
2026-04-22T12:09:11.165252,23.94,24.25,24.50,23.75,0,warmup
