# sample_id=Navy F1 Spray X3 (A1)  test_name=Nike 5.g tension  started=2026-04-22T12:33:29.924763
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T12:33:29.269759,-0.65,24.75,25.00,23.75,0,warmup
2026-04-22T12:33:30.269823,0.35,24.75,25.00,23.75,0,warmup
2026-04-22T12:33:31.269889,1.35,24.75,25.00,23.75,0,warmup
2026-04-22T12:33:32.269958,2.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:33.270028,3.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:34.270094,4.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:35.270163,5.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:36.270236,6.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:37.270297,7.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:38.270359,8.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:39.270427,9.35,24.75,24.75,23.75,0,warmup
2026-04-22T12:33:40.270498,10.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:41.270563,11.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:42.270633,12.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:43.270703,13.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:44.270762,14.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:45.270824,15.35,24.50,24.75,23.69,0,warmup
2026-04-22T12:33:46.270887,16.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:47.270953,17.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:48.271019,18.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:49.271087,19.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:50.271153,20.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:51.271215,21.35,24.75,24.75,23.69,0,warmup
2026-04-22T12:33:52.271283,22.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:53.271345,23.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:54.271409,24.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:55.271475,25.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:56.271544,26.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:57.271612,27.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:58.271677,28.35,24.75,24.75,23.62,0,warmup
2026-04-22T12:33:59.271743,29.35,24.75,24.75,23.62,1,lamp_on
2026-04-22T12:34:00.271809,30.35,24.75,24.75,23.62,1,lamp_on
2026-04-22T12:34:01.271871,31.35,24.75,24.75,23.62,1,lamp_on
2026-04-22T12:34:02.271946,32.35,24.75,24.75,23.62,1,lamp_on
2026-04-22T12:34:03.272013,33.35,24.75,24.75,23.62,1,lamp_on
2026-04-22T12:34:04.272075,34.35,25.00,25.00,23.62,1,lamp_on
2026-04-22T12:34:05.272137,35.35,25.00,25.00,23.62,1,lamp_on
2026-04-22T12:34:06.272213,36.35,25.00,25.00,23.69,1,lamp_on
2026-04-22T12:34:07.272279,37.35,25.00,25.00,23.69,1,lamp_on
2026-04-22T12:34:08.272343,38.35,25.25,25.00,23.69,1,lamp_on
2026-04-22T12:34:09.272409,39.35,25.25,25.00,23.75,1,lamp_on
2026-04-22T12:34:10.272480,40.35,25.25,25.00,23.75,1,lamp_on
2026-04-22T12:34:11.272546,41.35,25.25,25.25,23.81,1,lamp_on
2026-04-22T12:34:12.272612,42.35,25.25,25.25,23.81,1,lamp_on
2026-04-22T12:34:13.272677,43.35,25.25,25.25,23.88,1,lamp_on
2026-04-22T12:34:14.272745,44.35,25.25,25.50,23.88,1,lamp_on
2026-04-22T12:34:15.272817,45.35,25.50,25.25,23.94,1,lamp_on
2026-04-22T12:34:16.272885,46.35,25.50,25.50,23.94,1,lamp_on
2026-04-22T12:34:17.272950,47.35,25.50,25.50,24.00,1,lamp_on
2026-04-22T12:34:18.273011,48.35,25.75,25.50,24.00,1,lamp_on
2026-04-22T12:34:19.273076,49.35,25.75,25.75,24.06,1,lamp_on
2026-04-22T12:34:20.273140,50.35,25.75,25.75,24.06,1,lamp_on
2026-04-22T12:34:21.273198,51.35,25.75,25.75,24.12,1,lamp_on
2026-04-22T12:34:22.273256,52.35,25.75,25.75,24.19,1,lamp_on
2026-04-22T12:34:23.273326,53.35,25.75,25.75,24.19,1,lamp_on
2026-04-22T12:34:24.273384,54.35,25.75,25.75,24.25,1,lamp_on
2026-04-22T12:34:25.273447,55.35,26.00,25.75,24.25,1,lamp_on
2026-04-22T12:34:26.273508,56.35,26.00,25.75,24.31,1,lamp_on
2026-04-22T12:34:27.273575,57.35,26.00,26.00,24.31,1,lamp_on
2026-04-22T12:34:28.273638,58.35,26.25,26.00,24.38,1,lamp_on
2026-04-22T12:34:29.273701,59.35,26.00,26.00,24.44,1,lamp_on
2026-04-22T12:34:30.273765,60.35,26.25,26.00,24.44,1,lamp_on
2026-04-22T12:34:31.273824,61.35,26.25,26.00,24.50,1,lamp_on
2026-04-22T12:34:32.273885,62.35,26.25,26.25,24.50,1,lamp_on
2026-04-22T12:34:33.273952,63.35,26.25,26.25,24.56,1,lamp_on
2026-04-22T12:34:34.274018,64.35,26.25,26.25,24.62,1,lamp_on
2026-04-22T12:34:35.274083,65.35,26.25,26.25,24.62,1,lamp_on
2026-04-22T12:34:36.274143,66.35,26.50,26.25,24.69,1,lamp_on
2026-04-22T12:34:37.274205,67.35,26.50,26.25,24.75,1,lamp_on
2026-04-22T12:34:38.274271,68.35,26.50,26.50,24.75,1,lamp_on
2026-04-22T12:34:39.274334,69.35,26.50,26.25,24.81,1,lamp_on
2026-04-22T12:34:40.274402,70.35,26.50,26.50,24.88,1,lamp_on
2026-04-22T12:34:41.274465,71.35,26.50,26.50,24.88,1,lamp_on
2026-04-22T12:34:42.274532,72.35,26.50,26.50,24.88,1,lamp_on
2026-04-22T12:34:43.274598,73.35,26.75,26.50,24.94,1,lamp_on
2026-04-22T12:34:44.274669,74.35,26.75,26.50,25.00,1,lamp_on
2026-04-22T12:34:45.274734,75.35,26.75,26.50,25.06,1,lamp_on
2026-04-22T12:34:46.274797,76.35,26.75,26.50,25.06,1,lamp_on
2026-04-22T12:34:47.274865,77.35,26.75,26.75,25.12,1,lamp_on
2026-04-22T12:34:48.274927,78.35,27.00,26.75,25.12,1,lamp_on
2026-04-22T12:34:49.275688,79.35,27.00,26.75,25.19,1,lamp_on
2026-04-22T12:34:50.275758,80.35,27.00,26.75,25.25,1,lamp_on
2026-04-22T12:34:51.275831,81.35,27.00,26.75,25.25,1,lamp_on
2026-04-22T12:34:52.275894,82.35,27.00,27.00,25.31,1,lamp_on
2026-04-22T12:34:53.275964,83.35,27.00,27.00,25.31,1,lamp_on
2026-04-22T12:34:54.276032,84.35,27.00,27.00,25.38,1,lamp_on
2026-04-22T12:34:55.276101,85.35,27.00,27.00,25.38,1,lamp_on
2026-04-22T12:34:56.276163,86.35,27.25,27.00,25.44,1,lamp_on
2026-04-22T12:34:57.276234,87.35,27.25,27.00,25.50,1,lamp_on
2026-04-22T12:34:58.276295,88.35,27.25,27.00,25.50,1,lamp_on
2026-04-22T12:34:59.276362,89.35,27.25,27.00,25.56,1,lamp_on
2026-04-22T12:35:00.276428,90.35,27.25,27.00,25.62,1,lamp_on
2026-04-22T12:35:01.276782,91.35,27.25,27.25,25.62,1,lamp_on
2026-04-22T12:35:02.276849,92.35,27.25,27.25,25.62,1,lamp_on
2026-04-22T12:35:03.276923,93.35,27.50,27.25,25.69,1,lamp_on
2026-04-22T12:35:04.276984,94.35,27.50,27.25,25.69,1,lamp_on
2026-04-22T12:35:05.277047,95.35,27.50,27.25,25.75,1,lamp_on
2026-04-22T12:35:06.277103,96.35,27.50,27.25,25.81,1,lamp_on
2026-04-22T12:35:07.277163,97.35,27.50,27.25,25.81,1,lamp_on
2026-04-22T12:35:08.277221,98.35,27.50,27.50,25.88,1,lamp_on
2026-04-22T12:35:09.277280,99.35,27.50,27.50,25.88,1,lamp_on
2026-04-22T12:35:10.277348,100.35,27.75,27.50,25.94,1,lamp_on
2026-04-22T12:35:11.277406,101.35,27.75,27.50,25.94,1,lamp_on
2026-04-22T12:35:12.277464,102.35,27.75,27.50,26.00,1,lamp_on
2026-04-22T12:35:13.277525,103.35,27.75,27.50,26.00,1,lamp_on
2026-04-22T12:35:14.277589,104.35,27.75,27.50,26.06,1,lamp_on
2026-04-22T12:35:15.277649,105.35,27.75,27.50,26.12,1,lamp_on
2026-04-22T12:35:16.277721,106.35,28.00,27.50,26.12,1,lamp_on
2026-04-22T12:35:17.277781,107.35,28.00,27.75,26.19,1,lamp_on
2026-04-22T12:35:18.277845,108.35,28.00,27.75,26.19,1,lamp_on
2026-04-22T12:35:19.277906,109.35,28.00,27.75,26.25,1,lamp_on
2026-04-22T12:35:20.277966,110.35,28.00,27.75,26.25,1,lamp_on
2026-04-22T12:35:21.278026,111.35,28.00,27.75,26.31,1,lamp_on
2026-04-22T12:35:22.278095,112.35,28.00,27.75,26.38,1,lamp_on
2026-04-22T12:35:23.278152,113.35,28.25,27.75,26.38,1,lamp_on
2026-04-22T12:35:24.278212,114.35,28.25,28.00,26.44,1,lamp_on
2026-04-22T12:35:25.278281,115.35,28.25,28.00,26.44,1,lamp_on
2026-04-22T12:35:26.278344,116.35,28.25,28.00,26.50,1,lamp_on
2026-04-22T12:35:27.278410,117.35,28.25,28.00,26.56,1,lamp_on
2026-04-22T12:35:28.278473,118.35,28.25,28.00,26.62,1,lamp_on
2026-04-22T12:35:29.278536,119.35,28.25,28.00,26.62,1,lamp_on
2026-04-22T12:35:30.278604,120.36,28.50,28.25,26.62,1,lamp_on
2026-04-22T12:35:31.278671,121.36,28.50,28.25,26.69,1,lamp_on
2026-04-22T12:35:32.278734,122.36,28.50,28.25,26.75,1,lamp_on
2026-04-22T12:35:33.278794,123.36,28.50,28.25,26.75,1,lamp_on
2026-04-22T12:35:34.278856,124.36,28.50,28.25,26.81,1,lamp_on
2026-04-22T12:35:35.278926,125.36,28.50,28.25,26.81,1,lamp_on
2026-04-22T12:35:36.278983,126.36,28.75,28.50,26.88,1,lamp_on
2026-04-22T12:35:37.279049,127.36,28.50,28.25,26.88,1,lamp_on
2026-04-22T12:35:38.279114,128.36,28.75,28.50,26.94,1,lamp_on
2026-04-22T12:35:39.279177,129.36,28.75,28.50,26.94,1,lamp_on
2026-04-22T12:35:40.279246,130.36,28.75,28.50,27.00,1,lamp_on
2026-04-22T12:35:41.279318,131.36,28.75,28.50,27.06,1,lamp_on
2026-04-22T12:35:42.279720,132.36,28.75,28.50,27.06,1,lamp_on
2026-04-22T12:35:43.279777,133.36,28.75,28.50,27.12,1,lamp_on
2026-04-22T12:35:44.279842,134.36,28.75,28.50,27.12,1,lamp_on
2026-04-22T12:35:45.279909,135.36,29.00,28.75,27.19,1,lamp_on
2026-04-22T12:35:46.279973,136.36,29.00,28.75,27.19,1,lamp_on
2026-04-22T12:35:47.280043,137.36,29.00,28.75,27.25,1,lamp_on
2026-04-22T12:35:48.280105,138.36,29.00,28.75,27.31,1,lamp_on
2026-04-22T12:35:49.280172,139.36,29.25,28.75,27.31,1,lamp_on
2026-04-22T12:35:50.280232,140.36,29.00,28.75,27.38,1,lamp_on
2026-04-22T12:35:51.280289,141.36,29.00,29.00,27.38,1,lamp_on
2026-04-22T12:35:52.280357,142.36,29.25,29.00,27.44,1,lamp_on
2026-04-22T12:35:53.280430,143.36,29.25,29.00,27.50,1,lamp_on
2026-04-22T12:35:54.280495,144.36,29.25,29.00,27.50,1,lamp_on
2026-04-22T12:35:55.280553,145.36,29.25,29.00,27.56,1,lamp_on
2026-04-22T12:35:56.280621,146.36,29.25,29.25,27.56,1,lamp_on
2026-04-22T12:35:57.282394,147.36,29.50,29.00,27.62,1,lamp_on
2026-04-22T12:35:58.282459,148.36,29.50,29.25,27.62,1,lamp_on
2026-04-22T12:35:59.282525,149.36,29.50,29.00,27.69,1,lamp_on
2026-04-22T12:36:00.282588,150.36,29.50,29.25,27.75,1,lamp_on
2026-04-22T12:36:01.282654,151.36,29.50,29.25,27.75,1,lamp_on
2026-04-22T12:36:02.282720,152.36,29.50,29.25,27.81,1,lamp_on
2026-04-22T12:36:03.282779,153.36,29.50,29.25,27.81,1,lamp_on
2026-04-22T12:36:04.282846,154.36,29.50,29.25,27.88,1,lamp_on
2026-04-22T12:36:05.282922,155.36,29.75,29.50,27.94,1,lamp_on
2026-04-22T12:36:06.282978,156.36,29.75,29.50,27.94,1,lamp_on
2026-04-22T12:36:07.283037,157.36,29.75,29.50,28.00,1,lamp_on
2026-04-22T12:36:08.283107,158.36,29.75,29.50,28.00,1,lamp_on
2026-04-22T12:36:09.283174,159.36,29.75,29.50,28.06,1,lamp_on
2026-04-22T12:36:10.283239,160.36,29.75,29.50,28.12,1,lamp_on
2026-04-22T12:36:11.283300,161.36,29.75,29.50,28.12,1,lamp_on
2026-04-22T12:36:12.283364,162.36,30.00,29.50,28.12,1,lamp_on
2026-04-22T12:36:13.283422,163.36,30.00,29.50,28.19,1,lamp_on
2026-04-22T12:36:14.283489,164.36,30.00,29.75,28.25,1,lamp_on
2026-04-22T12:36:15.283552,165.36,30.00,29.75,28.25,1,lamp_on
2026-04-22T12:36:16.283612,166.36,30.00,29.75,28.31,1,lamp_on
2026-04-22T12:36:17.283680,167.36,30.00,29.50,28.38,1,lamp_on
2026-04-22T12:36:18.283829,168.36,30.25,29.75,28.38,1,lamp_on
2026-04-22T12:36:19.283890,169.36,30.25,29.75,28.38,1,lamp_on
2026-04-22T12:36:20.283958,170.36,30.25,29.75,28.44,1,lamp_on
2026-04-22T12:36:21.284023,171.36,30.25,29.75,28.50,1,lamp_on
2026-04-22T12:36:22.284091,172.36,30.25,30.00,28.50,1,lamp_on
2026-04-22T12:36:23.284155,173.36,30.25,30.00,28.50,1,lamp_on
2026-04-22T12:36:24.285605,174.36,30.25,30.00,28.56,1,lamp_on
2026-04-22T12:36:25.285662,175.36,30.50,30.00,28.62,1,lamp_on
2026-04-22T12:36:26.285721,176.36,30.50,30.00,28.69,1,lamp_on
2026-04-22T12:36:27.285779,177.36,30.50,30.00,28.69,1,lamp_on
2026-04-22T12:36:28.285844,178.36,30.50,30.00,28.75,1,lamp_on
2026-04-22T12:36:29.285904,179.36,30.50,30.00,28.75,1,lamp_on
2026-04-22T12:36:30.285972,180.36,30.50,30.25,28.81,1,lamp_on
2026-04-22T12:36:31.286041,181.36,30.50,30.25,28.81,1,lamp_on
2026-04-22T12:36:32.286101,182.36,30.50,30.25,28.88,1,lamp_on
2026-04-22T12:36:33.286171,183.36,30.75,30.25,28.88,1,lamp_on
2026-04-22T12:36:34.286238,184.36,30.75,30.25,28.94,1,lamp_on
2026-04-22T12:36:35.286302,185.36,30.75,30.25,28.94,1,lamp_on
2026-04-22T12:36:36.286365,186.36,30.75,30.25,29.00,1,lamp_on
