# sample_id=Navy F1 X3/ Helios Spray (A1)  test_name=Nike 5.g tension  started=2026-04-22T13:25:49.161387
iso_time,elapsed_s,tc_a_c,tc_b_c,air_c,lamp_on,phase
2026-04-22T13:25:48.504648,-0.66,24.75,24.50,23.81,0,warmup
2026-04-22T13:25:49.504725,0.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:50.504793,1.34,24.50,24.50,23.81,0,warmup
2026-04-22T13:25:51.504856,2.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:52.504923,3.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:53.504991,4.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:54.505058,5.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:55.505128,6.34,24.75,24.75,23.81,0,warmup
2026-04-22T13:25:56.505190,7.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:25:57.505253,8.34,24.50,24.50,23.81,0,warmup
2026-04-22T13:25:58.505318,9.34,24.75,24.50,23.81,0,warmup
2026-04-22T13:25:59.505384,10.34,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:00.505453,11.34,24.75,24.50,23.81,0,warmup
2026-04-22T13:26:01.505527,12.34,24.75,24.75,23.81,0,warmup
2026-04-22T13:26:02.505599,13.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:03.505667,14.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:04.505734,15.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:05.505804,16.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:06.505871,17.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:07.505940,18.35,24.75,24.75,23.81,0,warmup
2026-04-22T13:26:08.506006,19.35,24.50,24.50,23.81,0,warmup
2026-04-22T13:26:09.506078,20.35,24.75,24.50,23.81,0,warmup
2026-04-22T13:26:10.506144,21.35,24.50,24.50,23.81,0,warmup
2026-04-22T13:26:11.506213,22.35,24.50,24.50,23.81,0,warmup
2026-04-22T13:26:12.506282,23.35,24.75,24.75,23.81,0,warmup
2026-04-22T13:26:13.506349,24.35,24.50,24.50,23.81,0,warmup
2026-04-22T13:26:14.506416,25.35,24.75,24.50,23.81,0,warmup
2026-04-22T13:26:15.506486,26.35,24.75,24.50,23.81,0,warmup
2026-04-22T13:26:16.506551,27.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:17.506617,28.35,24.50,24.75,23.81,0,warmup
2026-04-22T13:26:18.506685,29.35,24.75,24.50,23.81,1,lamp_on
2026-04-22T13:26:19.507319,30.35,24.75,24.75,23.81,1,lamp_on
2026-04-22T13:26:20.507379,31.35,24.75,24.75,23.81,1,lamp_on
2026-04-22T13:26:21.507451,32.35,24.75,24.75,23.88,1,lamp_on
2026-04-22T13:26:22.507523,33.35,24.75,24.75,23.88,1,lamp_on
2026-04-22T13:26:23.507593,34.35,24.75,24.75,23.88,1,lamp_on
2026-04-22T13:26:24.507659,35.35,24.75,24.75,23.94,1,lamp_on
2026-04-22T13:26:25.507726,36.35,25.00,25.00,23.94,1,lamp_on
2026-04-22T13:26:26.507792,37.35,25.00,25.00,24.00,1,lamp_on
2026-04-22T13:26:27.507859,38.35,25.00,25.00,24.00,1,lamp_on
2026-04-22T13:26:28.507927,39.35,25.00,25.00,24.00,1,lamp_on
2026-04-22T13:26:29.507994,40.35,25.25,25.00,24.06,1,lamp_on
2026-04-22T13:26:30.508067,41.35,25.25,25.25,24.12,1,lamp_on
2026-04-22T13:26:31.508132,42.35,25.25,25.25,24.12,1,lamp_on
2026-04-22T13:26:32.508205,43.35,25.25,25.25,24.19,1,lamp_on
2026-04-22T13:26:33.508267,44.35,25.50,25.25,24.19,1,lamp_on
2026-04-22T13:26:34.508332,45.35,25.50,25.50,24.25,1,lamp_on
2026-04-22T13:26:35.508395,46.35,25.50,25.50,24.25,1,lamp_on
2026-04-22T13:26:36.508467,47.35,25.50,25.50,24.31,1,lamp_on
2026-04-22T13:26:37.508536,48.35,25.50,25.50,24.38,1,lamp_on
2026-04-22T13:26:38.508603,49.35,25.50,25.75,24.38,1,lamp_on
2026-04-22T13:26:39.508666,50.35,25.75,25.75,24.44,1,lamp_on
2026-04-22T13:26:40.508725,51.35,25.75,25.75,24.44,1,lamp_on
2026-04-22T13:26:41.508781,52.35,25.75,25.75,24.50,1,lamp_on
2026-04-22T13:26:42.508854,53.35,25.75,25.75,24.50,1,lamp_on
2026-04-22T13:26:43.508918,54.35,26.00,25.75,24.56,1,lamp_on
2026-04-22T13:26:44.508981,55.35,26.00,25.75,24.62,1,lamp_on
2026-04-22T13:26:45.509048,56.35,26.00,25.75,24.69,1,lamp_on
2026-04-22T13:26:46.509113,57.35,26.00,25.75,24.69,1,lamp_on
2026-04-22T13:26:47.509179,58.35,26.00,26.00,24.75,1,lamp_on
2026-04-22T13:26:48.509247,59.35,26.00,26.00,24.75,1,lamp_on
2026-04-22T13:26:49.509318,60.35,26.25,26.00,24.81,1,lamp_on
2026-04-22T13:26:50.509389,61.35,26.25,26.25,24.88,1,lamp_on
2026-04-22T13:26:51.509455,62.35,26.25,26.25,24.94,1,lamp_on
2026-04-22T13:26:52.509522,63.35,26.25,26.25,24.94,1,lamp_on
2026-04-22T13:26:53.509589,64.35,26.25,26.25,25.00,1,lamp_on
2026-04-22T13:26:54.509657,65.35,26.25,26.25,25.06,1,lamp_on
2026-04-22T13:26:55.509725,66.35,26.50,26.25,25.06,1,lamp_on
2026-04-22T13:26:56.509801,67.35,26.50,26.50,25.12,1,lamp_on
2026-04-22T13:26:57.509867,68.35,26.50,26.50,25.12,1,lamp_on
2026-04-22T13:26:58.509935,69.35,26.75,26.50,25.19,1,lamp_on
2026-04-22T13:26:59.509997,70.35,26.75,26.50,25.25,1,lamp_on
2026-04-22T13:27:00.510065,71.35,26.75,26.50,25.25,1,lamp_on
2026-04-22T13:27:01.510128,72.35,26.75,26.50,25.31,1,lamp_on
2026-04-22T13:27:02.510199,73.35,26.75,26.50,25.38,1,lamp_on
2026-04-22T13:27:03.510265,74.35,27.00,26.75,25.38,1,lamp_on
2026-04-22T13:27:04.510325,75.35,27.00,26.75,25.44,1,lamp_on
2026-04-22T13:27:05.510393,76.35,27.00,26.75,25.50,1,lamp_on
2026-04-22T13:27:06.512312,77.35,27.00,26.75,25.50,1,lamp_on
2026-04-22T13:27:07.514188,78.35,27.00,26.75,25.56,1,lamp_on
2026-04-22T13:27:08.514248,79.35,27.00,27.00,25.62,1,lamp_on
