# Helios characterization  mode=driphold  started=20260602_175502
# charge=30.0s = 50.0 mL @ 1.667 mL/s   target_rh=80.0%
# notes=
elapsed_s,phase,puck_f,chamber_f,chamber_rh,column_f,column_rh,pressure_pa,weight_g
0.0,PREHEAT,122.0,80.1,60.1,79.1,66.9,-0.07,-1.149
1.0,PREHEAT,120.7,80.1,60.1,79.1,67.1,-0.05,-1.149
2.0,PREHEAT,120.7,80.1,60.1,79.1,67.1,-0.07,-1.149
3.0,PREHEAT,121.1,80.1,60.1,79.1,67.2,-0.07,-1.149
4.0,PREHEAT,121.5,80.1,60.1,79.1,67.2,-0.07,-1.149
5.0,PREHEAT,120.7,80.1,60.1,79.1,67.2,-0.07,-1.149
6.0,PREHEAT,120.7,80.1,60.1,79.1,67.3,-0.07,-1.149
7.0,PREHEAT,120.2,80.1,60.2,79.1,67.1,-0.05,-1.149
8.0,PREHEAT,121.1,80.1,60.2,79.1,67.2,-0.07,-1.149
9.0,PREHEAT,120.7,80.1,60.1,79.1,67.2,-0.07,-1.149
10.0,PREHEAT,120.7,80.1,60.1,79.2,67.2,-0.05,-1.149
11.0,PREHEAT,121.1,80.1,60.2,79.1,67.2,-0.07,-1.149
12.0,PREHEAT,121.1,80.1,60.1,79.2,67.2,-0.07,-1.149
13.0,PREHEAT,121.5,80.1,60.1,79.1,67.1,-0.03,-1.149
14.0,PREHEAT,122.0,80.1,60.1,79.1,67.1,-0.07,-1.149
15.0,PREHEAT,123.3,80.1,60.2,79.2,67.0,-0.05,-1.149
16.0,PREHEAT,122.5,80.1,60.2,79.2,67.0,-0.07,-1.149
17.0,PREHEAT,122.5,80.1,60.2,79.1,67.0,-0.05,-1.149
18.0,PREHEAT,122.9,80.1,60.2,79.2,67.0,-0.07,-1.149
19.0,PREHEAT,123.8,80.1,60.2,79.2,67.0,-0.07,-1.149
20.0,PREHEAT,123.8,80.1,60.2,79.2,66.9,-0.07,-1.149
21.0,PREHEAT,123.3,80.1,60.2,79.1,67.0,-0.05,-1.149
22.0,PREHEAT,124.2,80.1,60.2,79.2,67.1,-0.07,-1.149
23.0,PREHEAT,123.8,80.1,60.2,79.2,67.1,-0.05,-1.149
24.0,PREHEAT,123.8,80.2,60.2,79.2,67.2,-0.05,-1.149
25.0,PREHEAT,124.2,80.1,60.3,79.2,67.3,-0.07,-1.149
26.0,PREHEAT,125.2,80.1,60.3,79.2,67.3,-0.05,-1.149
27.0,PREHEAT,125.2,80.1,60.3,79.2,67.3,-0.05,-1.149
28.0,PREHEAT,124.7,80.1,60.3,79.2,67.1,-0.05,-1.149
29.0,PREHEAT,125.2,80.1,60.3,79.2,67.1,-0.05,-1.149
30.0,PREHEAT,126.0,80.1,60.4,79.2,67.1,-0.05,-1.149
31.0,PREHEAT,126.0,80.1,60.3,79.2,67.2,-0.07,-1.149
32.0,PREHEAT,125.6,80.2,60.4,79.2,67.2,-0.07,-1.149
33.0,PREHEAT,125.6,80.2,60.4,79.2,67.2,-0.07,-1.149
34.0,PREHEAT,127.0,80.1,60.4,79.2,67.2,-0.05,-1.149
35.0,PREHEAT,127.4,80.2,60.4,79.2,67.3,-0.05,-1.149
36.0,PREHEAT,127.4,80.2,60.4,79.2,67.3,-0.05,-1.149
37.0,PREHEAT,127.4,80.1,60.3,79.2,67.3,-0.07,-1.149
38.0,PREHEAT,127.8,80.2,60.3,79.2,67.3,-0.05,-1.149
39.0,PREHEAT,128.8,80.1,60.4,79.2,67.3,-0.07,-1.149
