# Helios moisture-pickup test  started=20260608_094912
# specimen=0.001g  treatment=control  species=red frame
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.1,77.6,181.4,35.1,-0.07
1.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,181.4,35.0,-0.05
2.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,181.4,35.0,-0.05
3.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,181.8,35.0,-0.05
4.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,181.8,35.0,-0.05
5.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,181.8,35.1,-0.07
6.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,182.8,35.0,-0.05
7.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,182.8,35.0,-0.07
8.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.1,77.6,183.2,35.0,-0.07
9.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.1,77.7,183.2,35.0,-0.05
10.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,184.1,35.1,-0.05
11.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.1,77.7,183.7,35.1,-0.05
12.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,184.1,35.1,-0.07
13.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,184.1,35.0,-0.07
14.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,184.6,35.0,-0.07
15.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,185.4,35.0,-0.05
16.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,185.4,35.0,-0.05
17.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,185.4,35.0,-0.07
18.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.1,77.6,185.9,35.1,-0.05
19.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,185.9,35.0,-0.05
20.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,186.3,35.1,-0.07
21.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,186.3,35.0,-0.07
22.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,186.8,35.0,-0.07
23.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,186.8,35.0,-0.07
24.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,186.8,35.0,-0.07
25.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,188.2,35.0,-0.05
26.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,187.7,35.0,-0.05
27.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,187.7,35.0,-0.05
28.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.6,188.2,35.0,-0.07
29.1,SETTLE-BASELINE,-0.000,0.000,0.0,30.2,77.7,188.6,35.0,-0.07
# STABLE BASELINE  t=30s  weight=-0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.6,188.6,35.0,-0.07
31.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.6,188.6,35.0,-0.05
32.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.6,188.6,35.0,-0.08
33.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.7,189.1,35.1,0.03
34.1,WET-PREHEAT,-0.016,-0.016,-1600.0,30.2,77.7,189.9,35.1,-0.1
35.1,WET-PREHEAT,-0.027,-0.027,-2700.0,30.2,77.7,190.4,35.2,-0.07
36.1,WET-PREHEAT,-0.005,-0.005,-500.0,30.2,77.7,189.5,35.2,0.02
37.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.6,189.9,35.2,0.18
38.1,WET-PREHEAT,-0.000,0.000,0.0,30.3,77.7,190.8,35.1,-0.17
39.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.7,190.4,35.1,0.03
40.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.6,191.3,35.1,-0.08
41.1,WET-PREHEAT,0.015,0.015,1500.0,30.2,77.7,191.3,35.2,0.05
42.1,WET-PREHEAT,0.017,0.017,1700.0,30.2,77.6,191.3,35.3,-0.2
43.1,WET-PREHEAT,0.017,0.017,1700.0,30.2,77.7,191.8,35.3,-0.18
44.1,WET-PREHEAT,0.017,0.017,1700.0,30.2,77.7,191.8,35.3,-0.18
45.1,WET-PREHEAT,0.007,0.007,700.0,30.2,77.7,191.8,35.3,-0.1
46.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.7,192.2,35.2,-0.07
47.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.7,192.7,35.2,0.07
48.1,WET-PREHEAT,-0.000,0.000,0.0,30.3,77.6,193.1,35.2,-0.03
49.1,WET-PREHEAT,-0.000,0.000,0.0,30.2,77.7,193.6,35.3,0.02
50.1,WET-PREHEAT,0.007,0.007,700.0,30.2,77.7,193.6,35.3,-0.07
