# Helios moisture-pickup test  started=20260611_115329
# specimen=0.001g  treatment=Empty Red Polycarbonate Frame  species=None
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,29.3,84.9,180.9,35.1,-0.08
1.1,SETTLE-BASELINE,0.000,0.000,0.0,29.3,84.8,180.1,35.1,-0.07
2.1,SETTLE-BASELINE,0.000,0.000,0.0,29.3,84.9,180.5,35.1,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,29.4,84.9,180.1,35.0,-0.07
4.1,SETTLE-BASELINE,0.000,0.000,0.0,29.4,84.9,180.1,35.1,-0.08
5.1,SETTLE-BASELINE,0.000,0.000,0.0,29.4,84.8,180.5,35.2,-0.07
6.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.9,180.1,35.2,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,29.4,84.8,179.6,35.3,-0.07
8.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.9,179.6,35.4,-0.08
9.1,SETTLE-BASELINE,0.000,0.000,0.0,29.4,84.8,179.6,35.3,-0.08
10.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,179.6,35.4,-0.07
11.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,179.6,35.4,-0.07
12.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,179.6,35.4,-0.07
13.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,179.2,35.4,-0.08
14.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,178.7,35.4,-0.08
15.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,178.2,35.4,-0.08
16.1,SETTLE-BASELINE,0.000,0.000,0.0,29.5,84.8,178.7,35.3,-0.07
17.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,179.6,35.4,-0.07
18.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,178.2,35.4,-0.07
19.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,178.2,35.3,-0.08
20.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,178.2,35.4,-0.07
21.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,179.6,35.4,-0.08
22.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,177.8,35.4,-0.08
23.1,SETTLE-BASELINE,0.000,0.000,0.0,29.7,84.8,177.8,35.5,-0.08
24.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,177.8,35.5,-0.07
25.1,SETTLE-BASELINE,0.000,0.000,0.0,29.6,84.8,177.8,35.5,-0.07
26.1,SETTLE-BASELINE,0.000,0.000,0.0,29.7,84.8,177.8,35.4,-0.07
27.1,SETTLE-BASELINE,0.000,0.000,0.0,29.7,84.8,177.8,35.5,-0.07
28.1,SETTLE-BASELINE,0.000,0.000,0.0,29.8,84.8,177.8,35.4,-0.08
29.1,SETTLE-BASELINE,0.000,0.000,0.0,29.7,84.8,177.8,35.4,-0.07
# STABLE BASELINE  t=30s  weight=0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,0.000,0.000,0.0,29.7,84.8,177.3,35.3,-0.07
31.1,WET-PREHEAT,0.000,0.000,0.0,29.8,84.8,176.9,35.5,-0.13
32.1,WET-PREHEAT,0.000,0.000,0.0,29.7,84.9,176.9,35.3,-0.57
33.1,WET-PREHEAT,-0.015,-0.015,-1500.0,29.6,84.8,176.9,35.1,-0.22
34.1,WET-PREHEAT,-0.036,-0.036,-3600.0,29.6,84.9,176.9,34.9,-0.67
35.1,WET-PREHEAT,-0.049,-0.049,-4900.0,29.5,84.8,176.9,34.8,-0.58
36.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.6,84.8,176.4,34.8,-0.7
37.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.5,84.9,176.4,34.6,-0.58
38.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.5,84.9,176.4,34.7,-0.6
39.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.5,84.9,176.4,34.7,-0.6
40.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.5,84.8,176.4,34.7,-0.7
41.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.5,84.8,176.0,34.8,-0.53
42.1,WET-PREHEAT,-0.045,-0.045,-4500.0,29.6,84.8,176.9,34.7,-0.72
43.1,WET-PREHEAT,-0.051,-0.051,-5100.0,29.6,84.8,176.9,34.8,-0.78
44.1,WET-PREHEAT,-0.055,-0.055,-5500.0,29.7,84.8,176.9,34.9,-0.72
45.1,WET-PREHEAT,-0.055,-0.055,-5500.0,29.7,84.8,176.4,35.0,-0.53
46.1,WET-PREHEAT,-0.043,-0.043,-4300.0,29.7,84.8,176.9,35.0,-0.55
47.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.7,84.8,177.8,35.0,-0.72
48.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.7,84.7,177.3,35.1,-0.6
49.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.8,84.8,177.3,35.1,-0.57
50.1,WET-PREHEAT,-0.042,-0.042,-4200.0,29.8,84.8,178.7,35.2,-0.58
51.1,WET-PREHEAT,-0.047,-0.047,-4700.0,29.8,84.7,178.2,35.3,-0.42
52.1,WET-PREHEAT,-0.047,-0.047,-4700.0,29.9,84.8,178.2,35.3,-0.42
53.1,WET-PREHEAT,-0.052,-0.052,-5200.0,29.9,84.8,178.2,35.3,-0.45
54.1,WET-PREHEAT,-0.058,-0.058,-5800.0,30.0,84.7,178.7,35.4,-0.65
55.1,WET-PREHEAT,-0.063,-0.063,-6300.0,30.0,84.8,179.2,35.4,-0.75
56.1,WET-PREHEAT,-0.063,-0.063,-6300.0,30.0,84.7,179.2,35.4,-0.65
57.1,WET-PREHEAT,-0.057,-0.057,-5700.0,30.0,84.7,179.6,35.5,-0.65
58.1,WET-PREHEAT,-0.040,-0.040,-4000.0,30.1,84.7,179.2,35.5,-0.65
59.1,WET-PREHEAT,-0.042,-0.042,-4200.0,30.1,84.7,180.1,35.6,-0.77
60.1,WET-PREHEAT,-0.032,-0.032,-3200.0,30.1,84.7,179.6,35.7,-0.57
61.1,WET-PREHEAT,-0.032,-0.032,-3200.0,30.2,84.7,180.5,35.7,-0.72
62.1,WET-PREHEAT,-0.032,-0.032,-3200.0,30.2,84.7,180.5,35.8,-0.65
63.1,WET-PREHEAT,-0.032,-0.032,-3200.0,30.2,84.8,180.1,35.8,-0.6
64.1,WET-PREHEAT,-0.039,-0.039,-3900.0,30.3,84.7,180.5,35.8,-0.75
65.1,WET-PREHEAT,-0.031,-0.031,-3100.0,30.3,84.7,181.4,35.8,-0.52
66.1,WET-PREHEAT,-0.031,-0.031,-3100.0,30.3,84.7,181.4,35.8,-0.52
67.1,WET-PREHEAT,-0.042,-0.042,-4200.0,30.3,84.7,181.4,35.9,-0.75
68.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.3,84.7,182.3,36.0,-0.48
69.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.3,84.7,181.8,36.1,-0.5
70.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.3,84.7,182.3,36.1,-0.52
71.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.4,84.7,182.3,36.1,-0.7
72.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.4,84.7,182.3,36.2,-0.73
73.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.4,84.7,183.2,36.3,-0.52
74.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.5,84.7,183.2,36.2,-0.32
75.1,WET-PREHEAT,-0.043,-0.043,-4300.0,30.5,84.7,183.7,36.3,-0.77
76.1,WET-PREHEAT,-0.051,-0.051,-5100.0,30.5,84.7,183.7,36.3,-0.7
77.1,WET-PREHEAT,-0.044,-0.044,-4400.0,30.5,84.7,183.2,36.4,-0.68
78.1,WET-PREHEAT,-0.044,-0.044,-4400.0,30.6,84.7,184.1,36.5,-0.62
79.1,WET-PREHEAT,-0.044,-0.044,-4400.0,30.5,84.7,184.1,36.5,-0.62
80.1,WET-PREHEAT,-0.044,-0.044,-4400.0,30.5,84.7,184.1,36.5,-0.72
81.1,WET-PREHEAT,-0.033,-0.033,-3300.0,30.6,84.7,184.1,36.6,-0.6
82.1,WET-PREHEAT,-0.033,-0.033,-3300.0,30.6,84.7,185.0,36.6,-0.67
83.1,WET-PREHEAT,-0.044,-0.044,-4400.0,30.6,84.6,185.4,36.6,-0.8
84.1,WET-PREHEAT,-0.034,-0.034,-3400.0,30.7,84.7,185.4,36.8,-0.52
85.1,WET-PREHEAT,-0.024,-0.024,-2400.0,30.6,84.7,185.0,36.7,-0.48
86.1,WET-PREHEAT,-0.026,-0.026,-2600.0,30.7,84.7,185.0,36.7,-0.87
87.1,WET-PREHEAT,-0.026,-0.026,-2600.0,30.7,84.6,185.4,36.8,-0.55
88.1,WET-PREHEAT,-0.026,-0.026,-2600.0,30.7,84.6,186.3,36.8,-0.73
89.1,WET-PREHEAT,-0.032,-0.032,-3200.0,30.7,84.7,186.3,36.8,-0.87
90.1,WET-PREHEAT,-0.026,-0.026,-2600.0,30.7,84.7,186.3,36.9,-0.73
91.1,WET-PREHEAT,-0.025,-0.025,-2500.0,30.7,84.7,186.8,36.9,-0.83
92.1,WET-PREHEAT,-0.025,-0.025,-2500.0,30.7,84.7,187.7,37.0,-0.5
93.1,WET-PREHEAT,-0.025,-0.025,-2500.0,30.7,84.7,188.2,37.0,-0.5
94.1,WET-PREHEAT,-0.027,-0.027,-2700.0,30.7,84.7,188.2,36.9,-0.45
95.1,WET-PREHEAT,-0.020,-0.020,-2000.0,30.8,84.6,187.7,37.0,-0.62
96.1,WET-PREHEAT,-0.019,-0.019,-1900.0,30.8,84.7,188.2,37.1,-0.72
97.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.8,84.6,188.6,37.1,-0.78
98.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.8,84.7,189.1,37.2,-0.65
99.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.8,84.7,189.1,37.1,-0.58
100.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.9,84.7,189.1,37.2,-0.67
101.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.8,84.6,189.9,37.2,-0.5
102.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.8,84.6,189.5,37.2,-0.6
103.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.9,84.7,189.5,37.3,-0.72
104.1,WET-PREHEAT,-0.030,-0.030,-3000.0,30.9,84.7,190.4,37.4,-0.58
105.1,WET-PREHEAT,-0.027,-0.027,-2700.0,30.9,84.6,190.4,37.3,-0.78
