# Helios moisture-pickup test  started=20260603_173212
# specimen=10.0g  treatment=DWR  species=Goose 800
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,1.336,0.000,0.0,39.0,84.7,185.4,46.1,-0.07
1.1,SETTLE-BASELINE,-0.028,-1.364,-13.6,39.0,84.7,185.4,46.1,-0.08
2.1,SETTLE-BASELINE,0.008,-1.328,-13.3,39.0,84.7,185.0,46.1,-0.05
3.1,SETTLE-BASELINE,-0.006,-1.342,-13.4,39.0,84.7,185.0,45.9,-0.07
4.1,SETTLE-BASELINE,0.018,-1.318,-13.2,39.1,84.7,184.6,45.9,-0.08
5.1,SETTLE-BASELINE,0.005,-1.331,-13.3,39.0,84.7,184.6,46.0,-0.07
6.1,SETTLE-BASELINE,0.020,-1.316,-13.2,39.0,84.7,184.6,46.1,-0.08
7.1,SETTLE-BASELINE,0.009,-1.327,-13.3,39.0,84.7,184.6,46.0,-0.07
8.1,SETTLE-BASELINE,0.013,-1.323,-13.2,39.0,84.7,185.0,46.0,-0.07
9.1,SETTLE-BASELINE,0.021,-1.315,-13.2,39.0,84.7,184.6,46.0,-0.07
10.1,SETTLE-BASELINE,0.013,-1.323,-13.2,39.1,84.7,184.6,45.8,-0.08
11.1,SETTLE-BASELINE,0.021,-1.315,-13.2,39.0,84.7,184.1,45.9,-0.07
12.1,SETTLE-BASELINE,0.009,-1.327,-13.3,39.0,84.7,183.7,45.8,-0.07
13.1,SETTLE-BASELINE,0.017,-1.319,-13.2,39.1,84.7,183.7,45.9,-0.08
14.1,SETTLE-BASELINE,0.017,-1.319,-13.2,39.1,84.7,183.2,45.9,-0.08
15.1,SETTLE-BASELINE,0.013,-1.323,-13.2,39.1,84.7,183.2,45.9,-0.07
16.1,SETTLE-BASELINE,0.019,-1.317,-13.2,39.0,84.7,183.7,46.1,-0.07
17.1,SETTLE-BASELINE,0.019,-1.317,-13.2,39.0,84.7,183.2,46.2,-0.08
