# Helios moisture-pickup test  started=20260604_142823
# specimen=10.0g  treatment=Expedry  species=Goose 800
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.030,0.000,0.0,30.6,88.5,177.3,36.8,-0.1
1.1,SETTLE-BASELINE,-0.032,-0.002,-0.0,30.6,88.5,177.8,36.8,-0.1
2.1,SETTLE-BASELINE,-0.011,0.019,0.2,30.6,88.5,177.3,36.9,-0.07
3.1,SETTLE-BASELINE,-0.011,0.019,0.2,30.6,88.5,176.9,36.9,-0.07
4.1,SETTLE-BASELINE,-0.010,0.020,0.2,30.6,88.5,176.9,36.8,-0.08
5.1,SETTLE-BASELINE,-0.010,0.020,0.2,30.6,88.5,176.9,36.9,-0.1
6.1,SETTLE-BASELINE,-0.009,0.021,0.2,30.6,88.5,176.4,36.9,-0.1
7.1,SETTLE-BASELINE,-0.012,0.018,0.2,30.6,88.5,176.9,36.9,-0.08
8.1,SETTLE-BASELINE,-0.013,0.017,0.2,30.7,88.4,176.9,37.0,-0.08
9.1,SETTLE-BASELINE,-0.013,0.017,0.2,30.7,88.5,176.4,36.9,-0.07
10.1,SETTLE-BASELINE,-0.015,0.015,0.1,30.7,88.5,176.0,36.9,-0.08
11.1,SETTLE-BASELINE,-0.016,0.014,0.1,30.7,88.4,176.4,37.0,-0.1
12.1,SETTLE-BASELINE,-0.025,0.005,0.0,30.7,88.4,176.4,37.0,-0.08
13.1,SETTLE-BASELINE,-0.025,0.005,0.0,30.7,88.5,176.0,36.9,-0.1
14.1,SETTLE-BASELINE,-0.021,0.009,0.1,30.7,88.4,176.0,36.9,-0.08
15.1,SETTLE-BASELINE,-0.035,-0.005,-0.1,30.7,88.5,175.6,36.8,-0.07
16.1,SETTLE-BASELINE,-0.035,-0.005,-0.1,30.7,88.4,175.6,36.9,-0.07
17.1,SETTLE-BASELINE,-0.037,-0.007,-0.1,30.7,88.4,175.6,36.9,-0.08
18.1,SETTLE-BASELINE,-0.019,0.011,0.1,30.7,88.4,175.6,36.8,-0.08
19.1,SETTLE-BASELINE,-0.021,0.009,0.1,30.8,88.5,174.7,36.8,-0.08
20.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,174.7,36.9,-0.1
21.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,175.1,36.9,-0.08
22.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,174.7,36.9,-0.08
23.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.7,88.4,174.7,36.9,-0.08
24.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,175.1,36.9,-0.08
25.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.7,88.4,174.7,36.9,-0.08
26.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,175.1,36.8,-0.1
27.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,174.2,36.8,-0.08
28.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,174.2,37.0,-0.07
29.1,SETTLE-BASELINE,-0.024,0.006,0.1,30.8,88.4,174.2,36.9,-0.1
# STABLE BASELINE  t=30s  weight=-0.024  delta=0.006  pct=0.1
30.1,WET-PREHEAT,-0.024,0.000,0.0,30.8,88.4,174.7,37.0,-0.1
31.1,WET-PREHEAT,-0.024,0.000,0.0,30.8,88.4,174.7,37.0,-0.08
32.1,WET-PREHEAT,-0.024,0.000,0.0,30.8,88.4,173.3,37.0,-0.22
33.1,WET-PREHEAT,-0.036,-0.012,-0.1,30.9,88.5,173.8,36.8,-0.12
34.1,WET-PREHEAT,-0.126,-0.102,-1.0,30.8,88.4,173.3,36.7,-0.27
35.1,WET-PREHEAT,-0.147,-0.123,-1.2,30.8,88.4,173.3,36.5,-0.32
36.1,WET-PREHEAT,-0.125,-0.101,-1.0,30.8,88.4,173.8,36.5,-0.23
37.1,WET-PREHEAT,-0.127,-0.103,-1.0,30.8,88.4,173.3,36.4,-0.28
38.1,WET-PREHEAT,-0.131,-0.107,-1.1,30.8,88.4,173.3,36.4,-0.23
39.1,WET-PREHEAT,-0.121,-0.097,-1.0,30.8,88.4,173.8,36.3,-0.2
40.1,WET-PREHEAT,-0.117,-0.093,-0.9,30.9,88.4,173.8,36.3,-0.13
