# Helios moisture-pickup test  started=20260609_112546
# specimen=3.0g  treatment=Expedry Frame A  species=800 GDD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.0,39.3,-0.07
1.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.0,39.3,-0.05
2.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.3,185.0,39.3,-0.05
3.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.0,39.2,-0.07
4.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.0,39.3,-0.07
5.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.4,39.3,-0.05
6.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.05
7.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,184.6,39.3,-0.05
8.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.9,39.2,-0.05
9.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.05
10.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.4,39.2,-0.07
11.1,SETTLE-BASELINE,0.000,0.000,0.0,34.1,78.4,185.9,39.2,-0.05
12.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.3,39.2,-0.05
13.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.4,39.2,-0.05
14.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,184.6,39.2,-0.05
15.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,184.6,39.2,-0.05
16.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.4,39.2,-0.05
17.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.4,39.2,-0.05
18.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.3,185.9,39.1,-0.07
19.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.3,39.2,-0.05
20.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.8,39.1,-0.05
21.1,SETTLE-BASELINE,0.000,0.000,0.0,33.9,78.4,186.3,39.1,-0.07
22.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.1,-0.07
23.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.3,39.2,-0.07
24.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.07
25.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.3,39.2,-0.05
26.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.05
27.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.05
28.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,185.9,39.2,-0.05
29.1,SETTLE-BASELINE,0.000,0.000,0.0,34.0,78.4,186.8,39.1,-0.05
# STABLE BASELINE  t=30s  weight=0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,0.000,0.000,0.0,34.0,78.5,186.3,39.2,-0.05
31.1,WET-PREHEAT,0.000,0.000,0.0,34.0,78.4,186.3,39.2,-0.07
32.1,WET-PREHEAT,0.000,0.000,0.0,34.0,78.4,186.8,39.1,-0.57
33.1,WET-PREHEAT,0.000,0.000,0.0,33.9,78.5,186.8,39.2,-0.67
34.1,WET-PREHEAT,-0.025,-0.025,-0.8,34.0,78.5,186.3,39.2,-0.7
35.1,WET-PREHEAT,-0.027,-0.027,-0.9,33.9,78.5,187.2,39.3,-0.67
36.1,WET-PREHEAT,-0.024,-0.024,-0.8,34.0,78.5,187.2,39.4,-0.27
37.1,WET-PREHEAT,-0.022,-0.022,-0.7,34.0,78.5,187.2,39.4,-0.38
38.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,39.4,-0.38
39.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,186.8,39.6,-0.48
40.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,186.3,39.6,-0.5
41.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.2,39.6,-0.5
42.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.2,39.6,-0.62
43.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,39.7,-0.68
44.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,39.7,-0.52
45.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.2,39.7,-0.53
46.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,186.8,39.8,-0.58
47.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,39.8,-0.67
48.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,187.2,39.9,-0.52
49.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.2,39.9,-0.68
50.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,40.0,-0.67
51.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,187.7,40.0,-0.62
52.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,187.2,40.0,-0.73
53.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.5,188.2,40.1,-0.77
54.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,188.2,40.1,-0.65
55.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,189.1,40.1,-0.65
56.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,189.1,40.1,-0.45
57.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.9,78.6,188.2,40.2,-0.4
58.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.6,40.1,-0.68
59.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.2,40.2,-0.43
60.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.2,40.2,-0.62
61.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.2,40.3,-0.72
62.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.6,40.3,-0.68
63.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.2,40.4,-0.53
64.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,187.7,40.4,-0.55
65.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.6,40.3,-0.7
66.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,78.6,188.6,40.3,-0.62
67.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.6,40.4,-0.53
68.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,78.6,188.2,40.4,-0.53
69.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,78.6,188.2,40.4,-0.58
70.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.8,78.6,188.2,40.4,-0.52
71.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,78.6,188.6,40.5,-0.62
72.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,78.6,188.2,40.4,-0.58
73.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.5,40.5,-0.35
74.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,188.2,40.5,-0.32
75.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.1,40.6,-0.45
76.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.1,40.6,-0.42
77.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,78.6,189.5,40.6,-0.72
78.1,WET-PREHEAT,-0.008,-0.008,-0.3,33.7,78.6,189.5,40.6,-0.67
79.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.1,40.7,-0.73
80.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.1,40.6,-0.38
81.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.7,189.1,40.7,-0.63
82.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.7,189.5,40.7,-0.63
83.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.7,189.5,40.7,-0.42
84.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,189.9,40.7,-0.37
85.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,78.6,190.4,40.7,-0.62
86.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.6,189.5,40.7,-0.48
87.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.7,189.5,40.8,-0.57
88.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.6,189.9,40.8,-0.55
89.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.6,189.9,40.8,-0.28
90.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.7,189.5,40.9,-0.57
91.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,78.7,189.5,40.9,-0.43
92.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.6,78.7,189.9,40.9,-0.65
93.1,WET-PREHEAT,-0.015,-0.015,-0.5,33.6,78.7,189.9,40.9,-0.47
94.1,WET-PREHEAT,-0.015,-0.015,-0.5,33.6,78.7,190.8,40.9,-0.6
