# Helios moisture-pickup test  started=20260609_151752
# specimen=3.0g  treatment=No treatment Frame B  species=800 GDD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.2,177.3,43.8,-0.05
1.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,176.4,43.8,-0.07
2.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.2,176.0,43.8,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,176.0,43.8,-0.07
4.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,176.0,43.8,-0.07
5.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,175.6,43.8,-0.05
6.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,175.6,43.9,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,175.6,43.8,-0.07
8.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,175.1,43.8,-0.07
9.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,175.6,43.8,-0.07
10.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,175.6,43.9,-0.05
11.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,174.7,43.8,-0.07
12.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,174.7,43.8,-0.05
13.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,174.7,43.8,-0.05
14.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,174.7,43.8,-0.07
15.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,174.2,43.7,-0.07
16.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.2,174.7,43.8,-0.07
17.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,174.2,43.8,-0.05
18.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,173.3,43.8,-0.05
19.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,173.8,43.8,-0.05
20.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,174.2,43.8,-0.07
21.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,173.3,43.8,-0.05
22.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,173.3,43.8,-0.07
23.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,173.3,43.8,-0.07
24.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.2,173.3,43.8,-0.07
25.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.2,172.8,43.8,-0.05
26.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,173.8,43.8,-0.05
27.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,173.3,43.8,-0.07
28.1,SETTLE-BASELINE,0.000,0.000,0.0,38.7,77.3,172.4,43.8,-0.07
29.1,SETTLE-BASELINE,0.000,0.000,0.0,38.8,77.3,173.3,43.8,-0.07
# STABLE BASELINE  t=30s  weight=0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,0.000,0.000,0.0,38.8,77.3,171.9,43.8,-0.07
31.1,WET-PREHEAT,0.000,0.000,0.0,38.7,77.3,171.1,43.8,-0.42
32.1,WET-PREHEAT,0.000,0.000,0.0,38.7,77.3,172.8,43.9,-0.52
33.1,WET-PREHEAT,-0.018,-0.018,-0.6,38.8,77.3,171.5,44.1,-0.58
34.1,WET-PREHEAT,-0.032,-0.032,-1.1,38.7,77.3,171.5,44.2,-0.47
35.1,WET-PREHEAT,-0.032,-0.032,-1.1,38.7,77.4,171.9,44.3,-0.4
36.1,WET-PREHEAT,-0.032,-0.032,-1.1,38.7,77.4,171.5,44.4,-0.72
37.1,WET-PREHEAT,-0.032,-0.032,-1.1,38.7,77.4,171.9,44.4,-0.72
38.1,WET-PREHEAT,-0.032,-0.032,-1.1,38.7,77.4,171.9,44.5,-0.38
39.1,WET-PREHEAT,-0.016,-0.016,-0.5,38.7,77.4,171.5,44.4,-0.67
40.1,WET-PREHEAT,-0.016,-0.016,-0.5,38.7,77.4,171.9,44.5,-0.7
41.1,WET-PREHEAT,-0.016,-0.016,-0.5,38.7,77.4,171.9,44.6,-1.0
42.1,WET-PREHEAT,-0.016,-0.016,-0.5,38.7,77.4,172.4,44.6,-0.38
