# Helios moisture-pickup test  started=20260609_165840
# specimen=3.0g  treatment=Expedry Frame C  species=800 GDD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.001,0.000,0.0,32.6,84.2,179.2,37.6,-0.08
1.1,SETTLE-BASELINE,-0.001,0.000,0.0,32.6,84.2,179.2,37.4,-0.07
2.1,SETTLE-BASELINE,-0.001,0.000,0.0,32.6,84.2,178.7,37.6,-0.07
3.1,SETTLE-BASELINE,-0.001,0.000,0.0,32.7,84.2,178.7,37.5,-0.07
4.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,178.7,37.6,-0.08
5.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,178.2,37.6,-0.08
6.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,178.2,37.6,-0.07
7.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,178.7,37.6,-0.07
8.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,177.3,37.7,-0.07
9.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.7,84.2,178.7,37.6,-0.07
10.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.2,177.8,37.6,-0.07
11.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.2,177.8,37.6,-0.07
12.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.2,177.3,37.7,-0.07
13.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.2,178.2,37.7,-0.08
14.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.1,177.8,37.8,-0.08
15.1,SETTLE-BASELINE,-0.012,-0.011,-0.4,32.8,84.2,176.9,37.7,-0.07
16.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.8,84.1,177.3,37.8,-0.07
17.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.9,37.8,-0.07
18.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.4,37.8,-0.08
19.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.9,37.8,-0.08
20.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.9,37.8,-0.08
21.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,177.3,37.8,-0.08
22.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.9,37.8,-0.07
23.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.4,37.7,-0.08
24.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.4,37.8,-0.07
25.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.0,37.8,-0.07
26.1,SETTLE-BASELINE,-0.023,-0.022,-0.7,32.7,84.1,176.4,37.9,-0.08
27.1,SETTLE-BASELINE,-0.035,-0.034,-1.1,32.7,84.1,176.0,37.8,-0.07
28.1,SETTLE-BASELINE,-0.035,-0.034,-1.1,32.7,84.1,176.0,37.9,-0.05
29.1,SETTLE-BASELINE,-0.035,-0.034,-1.1,32.6,84.1,175.6,37.8,-0.07
# STABLE BASELINE  t=30s  weight=-0.035  delta=-0.034  pct=-1.1
30.1,WET-PREHEAT,-0.035,0.000,0.0,32.6,84.1,176.4,37.8,-0.07
31.1,WET-PREHEAT,-0.035,0.000,0.0,32.6,84.1,175.6,37.7,-0.75
32.1,WET-PREHEAT,-0.035,0.000,0.0,32.6,84.1,175.1,37.6,-0.47
33.1,WET-PREHEAT,-0.035,0.000,0.0,32.6,84.1,175.6,37.6,-0.47
34.1,WET-PREHEAT,-0.065,-0.030,-1.0,32.6,84.1,175.6,37.5,-0.7
35.1,WET-PREHEAT,-0.086,-0.051,-1.7,32.5,84.0,175.1,37.4,-0.72
36.1,WET-PREHEAT,-0.086,-0.051,-1.7,32.5,84.1,176.0,37.3,-0.52
37.1,WET-PREHEAT,-0.075,-0.040,-1.3,32.5,84.0,175.6,37.3,-0.45
38.1,WET-PREHEAT,-0.072,-0.037,-1.2,32.5,84.0,174.7,37.4,-0.43
39.1,WET-PREHEAT,-0.071,-0.036,-1.2,32.5,84.0,174.7,37.4,-0.37
40.1,WET-PREHEAT,-0.078,-0.043,-1.4,32.5,84.0,176.0,37.4,-0.47
41.1,WET-PREHEAT,-0.070,-0.035,-1.2,32.5,84.0,174.7,37.5,-0.72
42.1,WET-PREHEAT,-0.069,-0.034,-1.1,32.4,84.0,175.6,37.5,-0.47
43.1,WET-PREHEAT,-0.083,-0.048,-1.6,32.5,84.0,175.6,37.6,-0.42
44.1,WET-PREHEAT,-0.083,-0.048,-1.6,32.5,84.0,176.0,37.6,-0.73
45.1,WET-PREHEAT,-0.085,-0.050,-1.7,32.5,84.0,176.0,37.6,-0.7
46.1,WET-PREHEAT,-0.085,-0.050,-1.7,32.5,84.0,176.0,37.6,-0.7
47.1,WET-PREHEAT,-0.079,-0.044,-1.5,32.5,84.0,176.0,37.6,-0.68
