# Helios moisture-pickup test  started=20260610_084815
# specimen=3.0g  treatment=Expedry Frame H  species=600 GDD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.9,176.9,35.8,-0.07
1.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,176.9,35.9,-0.07
2.1,SETTLE-BASELINE,0.000,0.000,0.0,31.3,84.8,178.2,35.8,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,178.2,35.7,-0.08
4.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,178.2,35.8,-0.08
5.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,178.2,35.7,-0.07
6.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,178.7,35.8,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,178.7,35.8,-0.07
8.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,179.6,35.8,-0.08
9.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,180.1,35.8,-0.07
10.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,180.5,35.8,-0.07
11.1,SETTLE-BASELINE,0.000,0.000,0.0,31.4,84.8,180.5,35.7,-0.05
12.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.3,84.8,180.1,35.7,-0.07
13.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.3,84.8,180.1,35.7,-0.07
14.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.3,84.8,180.1,35.7,-0.07
15.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.3,84.8,180.9,35.6,-0.08
16.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.2,84.8,180.9,35.7,-0.08
17.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.2,84.8,181.4,35.6,-0.07
18.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.2,84.8,180.9,35.7,-0.07
19.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,31.2,84.8,181.4,35.6,-0.07
20.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,181.8,35.6,-0.08
21.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,181.4,35.7,-0.08
22.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,182.8,35.7,-0.07
23.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,183.2,35.7,-0.07
24.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,183.2,35.7,-0.07
25.1,SETTLE-BASELINE,-0.023,-0.023,-0.8,31.2,84.7,183.2,35.7,-0.07
