# Helios moisture-pickup test  started=20260610_105933
# specimen=3.0g  treatment=No Treatment Frame G  species=800 GGD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,32.4,84.6,178.7,37.4,-0.08
1.1,SETTLE-BASELINE,0.000,0.000,0.0,32.4,84.6,178.2,37.4,-0.08
2.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,178.7,37.4,-0.08
3.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,178.2,37.4,-0.08
4.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,177.8,37.3,-0.07
5.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,179.2,37.3,-0.08
6.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,178.2,37.3,-0.07
7.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,177.8,37.3,-0.07
8.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.4,84.6,177.8,37.4,-0.07
9.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,177.3,37.4,-0.07
10.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,178.7,37.4,-0.07
11.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,177.3,37.5,-0.07
12.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,177.3,37.5,-0.07
13.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,176.9,37.5,-0.07
14.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,178.2,37.5,-0.08
15.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,177.3,37.5,-0.07
16.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,176.9,37.5,-0.08
17.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.6,176.9,37.6,-0.08
18.1,SETTLE-BASELINE,-0.011,-0.011,-0.4,32.5,84.5,176.9,37.5,-0.07
