# Helios moisture-pickup test  started=20260610_123958
# specimen=3.0g  treatment=Expedry Frame C  species=800 GGD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,84.2,179.6,37.9,-0.07
1.1,SETTLE-BASELINE,0.000,0.000,0.0,32.8,84.2,179.2,37.9,-0.08
2.1,SETTLE-BASELINE,0.000,0.000,0.0,32.7,84.2,178.7,37.9,-0.07
3.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,180.1,37.8,-0.07
4.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,177.8,37.7,-0.08
5.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,178.7,37.7,-0.07
6.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,179.6,37.7,-0.07
7.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,179.6,37.7,-0.08
8.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.1,178.2,37.7,-0.08
9.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,178.7,37.8,-0.07
10.1,SETTLE-BASELINE,0.011,0.011,0.4,32.7,84.2,178.7,37.7,-0.07
11.1,SETTLE-BASELINE,0.023,0.023,0.8,32.7,84.1,178.7,37.8,-0.07
12.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.8,37.8,-0.07
13.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.8,37.9,-0.07
14.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.8,37.8,-0.08
15.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,178.2,37.8,-0.07
16.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.3,37.9,-0.07
17.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,176.9,37.9,-0.05
18.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,176.9,37.9,-0.07
19.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.8,38.0,-0.08
20.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,176.9,38.0,-0.08
21.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,176.9,38.0,-0.08
22.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,177.3,38.0,-0.08
23.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,177.3,38.1,-0.07
24.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,177.8,38.1,-0.07
25.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.1,176.9,38.0,-0.07
26.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,176.9,38.0,-0.07
27.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,176.9,38.0,-0.08
28.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,176.9,38.0,-0.07
29.1,SETTLE-BASELINE,0.023,0.023,0.8,32.8,84.0,176.4,38.0,-0.08
# STABLE BASELINE  t=30s  weight=0.023  delta=0.023  pct=0.8
30.1,WET-PREHEAT,0.023,0.000,0.0,32.9,84.0,176.0,38.0,-0.07
31.1,WET-PREHEAT,0.023,0.000,0.0,32.9,84.0,176.0,38.0,-0.58
32.1,WET-PREHEAT,0.023,0.000,0.0,32.9,84.0,176.4,37.9,-0.72
33.1,WET-PREHEAT,-0.005,-0.028,-0.9,32.8,83.9,175.1,37.8,-0.72
34.1,WET-PREHEAT,-0.005,-0.028,-0.9,32.8,83.9,174.7,37.8,-0.72
35.1,WET-PREHEAT,-0.026,-0.049,-1.6,32.8,83.9,174.7,37.7,-0.68
36.1,WET-PREHEAT,-0.026,-0.049,-1.6,32.8,83.9,175.6,37.7,-0.9
37.1,WET-PREHEAT,-0.039,-0.062,-2.1,32.8,83.9,175.6,37.7,-0.95
38.1,WET-PREHEAT,-0.041,-0.064,-2.1,32.7,83.9,175.1,37.7,-0.45
