# Helios moisture-pickup test  started=20260610_142933
# specimen=3.0g  treatment=Empty Frame  species=None
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,-0.001,-0.0,32.1,84.2,180.9,37.0,-0.07
1.1,SETTLE-BASELINE,0.000,-0.001,-0.0,32.1,84.2,180.5,37.0,-0.07
2.1,SETTLE-BASELINE,0.011,0.010,0.3,32.1,84.2,180.5,36.9,-0.08
3.1,SETTLE-BASELINE,0.011,0.010,0.3,32.1,84.2,180.5,36.9,-0.08
4.1,SETTLE-BASELINE,0.011,0.010,0.3,32.0,84.2,180.9,36.9,-0.07
5.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.2,179.6,36.9,-0.08
6.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.2,179.6,36.9,-0.08
7.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,180.5,37.0,-0.1
8.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.2,180.9,37.1,-0.08
9.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.2,179.6,37.2,-0.08
10.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.2,37.2,-0.08
11.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.2,179.2,37.2,-0.07
12.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.6,37.1,-0.08
13.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.2,37.2,-0.07
14.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.2,37.2,-0.08
15.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.6,37.2,-0.08
16.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.6,37.3,-0.07
17.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,179.6,37.3,-0.07
18.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,179.2,37.3,-0.08
19.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,178.2,37.4,-0.08
20.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,179.6,37.4,-0.07
21.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,177.8,37.4,-0.07
22.1,SETTLE-BASELINE,0.022,0.021,0.7,32.0,84.1,178.2,37.3,-0.07
23.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,178.2,37.3,-0.07
24.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.0,178.7,37.3,-0.08
25.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.1,178.2,37.3,-0.07
26.1,SETTLE-BASELINE,0.022,0.021,0.7,32.1,84.0,177.8,37.3,-0.07
27.1,SETTLE-BASELINE,0.011,0.010,0.3,32.1,84.0,177.8,37.4,-0.08
28.1,SETTLE-BASELINE,0.011,0.010,0.3,32.2,84.0,178.2,37.4,-0.08
