# Helios moisture-pickup test  started=20260611_090525
# specimen=3.0g  treatment=Open Humidity Test  species=None
# target_rh=90.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,183.2,42.4,-0.05
1.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.1,42.4,-0.05
2.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,185.0,42.5,-0.07
3.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.6,42.5,-0.07
4.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.6,42.5,-0.05
5.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.1,42.4,-0.05
6.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.6,42.4,-0.07
7.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,184.6,42.4,-0.05
8.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,73.0,185.0,42.5,-0.05
9.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,185.4,42.4,-0.05
10.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,73.0,185.4,42.5,-0.07
11.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,186.3,42.4,-0.05
12.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,186.3,42.5,-0.03
13.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,186.3,42.3,-0.05
14.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,186.3,42.4,-0.05
15.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,187.2,42.5,-0.05
16.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.3,72.9,186.8,42.5,-0.05
17.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.3,72.9,186.8,42.4,-0.03
18.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,187.2,42.4,-0.05
19.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.3,72.9,188.6,42.5,-0.05
20.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,73.0,187.7,42.5,-0.05
21.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.3,72.9,188.6,42.5,-0.05
22.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,188.6,42.5,-0.05
23.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,73.0,188.2,42.5,-0.05
24.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.3,73.0,188.2,42.5,-0.03
25.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,72.9,189.1,42.5,-0.05
26.1,SETTLE-BASELINE,-0.000,0.000,0.0,37.4,73.0,189.1,42.5,-0.07
