# Helios moisture-pickup test  started=20260611_133744
# specimen=3.0g  treatment=DWR - Frame F  species=800 GGD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,27.7,87.4,175.1,32.9,-0.08
1.1,SETTLE-BASELINE,0.000,0.000,0.0,27.7,87.5,174.7,32.9,-0.08
2.1,SETTLE-BASELINE,0.000,0.000,0.0,27.6,87.5,174.7,32.9,-0.1
3.1,SETTLE-BASELINE,0.000,0.000,0.0,27.6,87.5,174.2,32.8,-0.1
4.1,SETTLE-BASELINE,0.012,0.012,0.4,27.6,87.5,174.2,32.8,-0.08
5.1,SETTLE-BASELINE,0.012,0.012,0.4,27.6,87.5,174.7,32.8,-0.08
6.1,SETTLE-BASELINE,0.012,0.012,0.4,27.7,87.4,174.7,32.9,-0.08
7.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,174.2,32.9,-0.08
8.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,174.2,32.9,-0.08
9.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,173.3,33.1,-0.08
10.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,173.8,33.1,-0.08
11.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,172.8,33.1,-0.08
12.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,173.8,33.1,-0.08
13.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.4,173.3,33.2,-0.1
14.1,SETTLE-BASELINE,0.012,0.012,0.4,27.8,87.4,173.3,33.3,-0.08
15.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.4,172.8,33.3,-0.1
16.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.4,172.8,33.3,-0.08
17.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.3,172.4,33.2,-0.08
18.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.4,172.8,33.2,-0.08
19.1,SETTLE-BASELINE,0.012,0.012,0.4,27.9,87.4,172.8,33.1,-0.1
20.1,SETTLE-BASELINE,0.012,0.012,0.4,28.0,87.4,172.4,33.2,-0.08
21.1,SETTLE-BASELINE,0.001,0.001,0.0,28.0,87.4,173.3,33.2,-0.1
22.1,SETTLE-BASELINE,0.001,0.001,0.0,28.1,87.4,172.4,33.1,-0.1
23.1,SETTLE-BASELINE,0.001,0.001,0.0,28.2,87.4,172.4,33.3,-0.08
24.1,SETTLE-BASELINE,0.001,0.001,0.0,28.2,87.3,171.9,33.3,-0.08
25.1,SETTLE-BASELINE,0.001,0.001,0.0,28.2,87.3,172.8,33.3,-0.08
26.1,SETTLE-BASELINE,0.001,0.001,0.0,28.3,87.3,172.4,33.3,-0.08
27.1,SETTLE-BASELINE,0.001,0.001,0.0,28.3,87.3,171.9,33.4,-0.07
28.1,SETTLE-BASELINE,0.001,0.001,0.0,28.2,87.3,172.4,33.3,-0.08
29.1,SETTLE-BASELINE,0.001,0.001,0.0,28.2,87.3,171.1,33.4,-0.08
# STABLE BASELINE  t=30s  weight=0.001  delta=0.001  pct=0.0
30.1,WET-PREHEAT,0.001,0.000,0.0,28.2,87.3,171.1,33.5,-0.08
31.1,WET-PREHEAT,0.001,0.000,0.0,28.1,87.3,171.1,33.4,-0.57
32.1,WET-PREHEAT,0.001,0.000,0.0,27.9,87.3,171.5,33.4,-0.57
33.1,WET-PREHEAT,0.001,0.000,0.0,27.9,87.3,171.5,33.1,-0.62
34.1,WET-PREHEAT,-0.030,-0.031,-1.0,27.8,87.3,171.1,32.9,-0.73
35.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.7,87.2,171.1,32.8,-0.65
36.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.7,87.2,171.5,32.6,-0.63
37.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.7,87.2,171.1,32.5,-0.5
38.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.6,87.2,171.1,32.5,-0.6
39.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.6,87.2,171.1,32.5,-0.47
40.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.6,87.2,171.1,32.5,-0.72
41.1,WET-PREHEAT,-0.037,-0.038,-1.3,27.6,87.2,171.5,32.6,-0.62
42.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.7,87.2,171.5,32.6,-0.72
43.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.7,87.1,171.5,32.7,-0.6
44.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.7,87.1,171.1,32.7,-0.72
45.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.7,87.1,171.9,32.8,-0.75
46.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.7,87.1,171.5,32.8,-0.75
47.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.8,87.1,171.5,32.8,-0.68
48.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.8,87.1,172.4,32.9,-0.67
49.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.9,87.1,172.4,33.0,-0.78
50.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.9,87.1,172.4,33.0,-0.63
51.1,WET-PREHEAT,-0.052,-0.053,-1.8,27.9,87.1,171.9,33.0,-0.7
52.1,WET-PREHEAT,-0.052,-0.053,-1.8,28.0,87.0,173.3,33.1,-0.72
53.1,WET-PREHEAT,-0.052,-0.053,-1.8,28.0,87.0,173.3,33.1,-0.7
54.1,WET-PREHEAT,-0.052,-0.053,-1.8,28.1,87.0,173.8,33.2,-0.77
55.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.1,87.0,173.3,33.3,-0.87
56.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.1,87.1,173.8,33.3,-0.68
57.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.2,87.0,174.2,33.4,-0.67
58.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.2,87.0,173.8,33.5,-0.6
59.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.3,87.0,173.8,33.5,-0.6
60.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.3,87.0,173.8,33.5,-0.7
61.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.2,87.0,174.7,33.5,-0.6
62.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.3,87.0,175.1,33.6,-0.75
63.1,WET-PREHEAT,-0.060,-0.061,-2.0,28.3,87.0,176.0,33.6,-0.87
64.1,WET-PREHEAT,-0.048,-0.049,-1.6,28.3,87.0,175.6,33.6,-0.48
65.1,WET-PREHEAT,-0.049,-0.050,-1.7,28.3,87.0,176.0,33.6,-0.67
66.1,WET-PREHEAT,-0.050,-0.051,-1.7,28.4,87.0,176.0,33.8,-0.65
67.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.4,87.0,176.9,33.7,-0.82
68.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.4,87.0,176.4,33.8,-0.8
69.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.4,86.9,176.9,33.9,-0.68
70.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.5,87.0,176.9,33.9,-0.58
71.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.5,86.9,177.3,34.0,-0.63
72.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.5,86.9,176.9,33.9,-0.77
73.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.5,86.9,177.3,33.9,-0.77
74.1,WET-PREHEAT,-0.061,-0.062,-2.1,28.5,87.0,177.3,34.0,-0.57
75.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,86.9,178.7,34.0,-0.55
76.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,86.9,178.2,34.1,-0.87
77.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,86.9,178.7,34.2,-0.67
78.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,86.9,178.7,34.2,-0.77
79.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,86.9,179.2,34.2,-0.62
80.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.6,87.0,179.6,34.2,-0.83
81.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.7,86.9,179.6,34.3,-0.78
82.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.7,86.9,179.2,34.3,-0.48
83.1,WET-PREHEAT,-0.055,-0.056,-1.9,28.7,86.9,179.6,34.4,-0.65
84.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,87.0,180.5,34.5,-0.53
85.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,179.6,34.5,-0.67
86.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,180.9,34.5,-0.67
87.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,180.9,34.5,-0.68
88.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,180.9,34.5,-0.77
89.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,181.4,34.6,-0.63
90.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,181.8,34.5,-0.55
91.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.8,86.9,181.4,34.6,-0.67
92.1,WET-PREHEAT,-0.066,-0.067,-2.2,28.9,86.9,181.8,34.7,-0.67
93.1,WET-PREHEAT,-0.054,-0.055,-1.8,28.9,86.9,182.3,34.7,-0.6
94.1,WET-PREHEAT,-0.053,-0.054,-1.8,28.9,86.9,182.8,34.8,-0.82
95.1,WET-PREHEAT,-0.050,-0.051,-1.7,28.9,86.9,182.8,34.8,-0.7
96.1,WET-PREHEAT,-0.057,-0.058,-1.9,28.9,86.9,182.8,34.9,-0.57
97.1,WET-PREHEAT,-0.057,-0.058,-1.9,28.9,86.9,183.7,34.8,-0.72
98.1,WET-PREHEAT,-0.057,-0.058,-1.9,29.0,86.9,184.1,34.8,-0.57
99.1,WET-PREHEAT,-0.057,-0.058,-1.9,29.0,86.9,184.6,34.9,-0.88
100.1,WET-PREHEAT,-0.057,-0.058,-1.9,29.0,86.9,184.1,34.9,-0.88
101.1,WET-PREHEAT,-0.057,-0.058,-1.9,29.0,86.9,184.1,34.9,-0.8
102.1,WET-PREHEAT,-0.068,-0.069,-2.3,29.0,86.9,184.6,34.9,-0.75
103.1,WET-PREHEAT,-0.068,-0.069,-2.3,29.0,86.9,185.0,35.0,-0.75
104.1,WET-PREHEAT,-0.068,-0.069,-2.3,29.0,86.9,184.6,35.1,-0.72
105.1,WET-PREHEAT,-0.068,-0.069,-2.3,29.0,86.9,185.4,35.0,-0.63
106.1,WET-PREHEAT,-0.068,-0.069,-2.3,29.1,86.9,185.4,35.0,-0.58
