# Helios moisture-pickup test  started=20260611_154457
# specimen=3.0g  treatment=No Treatment - Frame G  species=800 GGD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.010,0.000,0.0,27.4,88.6,179.6,32.6,-0.08
1.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.4,88.6,179.6,32.6,-0.08
2.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.4,88.6,179.2,32.6,-0.08
3.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.4,88.6,179.2,32.5,-0.1
4.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.5,88.6,179.2,32.5,-0.08
5.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.5,88.6,178.7,32.3,-0.08
6.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.4,88.6,178.7,32.5,-0.08
7.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.2,88.6,178.2,32.5,-0.08
8.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.6,179.2,32.4,-0.1
9.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.5,178.2,32.3,-0.08
10.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.6,178.2,32.4,-0.08
11.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.0,88.6,178.7,32.3,-0.08
12.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.6,177.3,32.3,-0.08
13.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.6,177.3,32.4,-0.08
14.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.1,88.6,178.2,32.4,-0.08
15.1,SETTLE-BASELINE,-0.000,0.010,0.3,27.2,88.5,178.2,32.4,-0.08
16.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.2,88.5,177.3,32.5,-0.08
17.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.3,88.5,176.9,32.5,-0.08
18.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.3,88.5,177.3,32.6,-0.08
19.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.3,88.5,177.3,32.7,-0.08
20.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.3,88.5,176.9,32.8,-0.08
21.1,SETTLE-BASELINE,-0.011,-0.001,-0.0,27.3,88.5,177.8,32.9,-0.08
22.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,177.3,33.0,-0.07
23.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.9,33.0,-0.08
24.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.4,33.0,-0.08
25.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.0,33.0,-0.08
26.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.4,33.0,-0.08
27.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.9,32.9,-0.08
28.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.3,88.5,176.9,32.9,-0.07
29.1,SETTLE-BASELINE,-0.022,-0.012,-0.4,27.4,88.5,176.4,32.9,-0.1
# STABLE BASELINE  t=30s  weight=-0.022  delta=-0.012  pct=-0.4
30.1,WET-PREHEAT,-0.022,0.000,0.0,27.3,88.4,176.4,33.0,-0.07
31.1,WET-PREHEAT,-0.022,0.000,0.0,27.3,88.4,175.1,32.9,-0.17
32.1,WET-PREHEAT,-0.022,0.000,0.0,27.3,88.4,175.1,32.7,-0.53
33.1,WET-PREHEAT,-0.044,-0.022,-0.7,27.1,88.4,175.6,32.6,-0.72
34.1,WET-PREHEAT,-0.067,-0.045,-1.5,27.1,88.4,175.6,32.3,-0.75
35.1,WET-PREHEAT,-0.063,-0.041,-1.4,27.1,88.4,175.1,32.1,-0.58
36.1,WET-PREHEAT,-0.061,-0.039,-1.3,27.1,88.4,174.7,32.0,-0.62
37.1,WET-PREHEAT,-0.063,-0.041,-1.4,27.0,88.4,175.1,31.9,-0.7
38.1,WET-PREHEAT,-0.063,-0.041,-1.4,27.1,88.4,176.0,32.0,-0.43
39.1,WET-PREHEAT,-0.063,-0.041,-1.4,27.1,88.4,175.1,32.0,-0.5
40.1,WET-PREHEAT,-0.070,-0.048,-1.6,27.0,88.4,175.6,32.0,-0.67
41.1,WET-PREHEAT,-0.070,-0.048,-1.6,27.1,88.4,175.6,32.0,-0.67
42.1,WET-PREHEAT,-0.070,-0.048,-1.6,27.1,88.4,175.6,32.0,-0.8
43.1,WET-PREHEAT,-0.070,-0.048,-1.6,27.1,88.3,175.6,32.1,-0.63
