# Helios moisture-pickup test  started=20260603_152159
# specimen=5.0g  treatment=Expedry Gold  species=duck down
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,-0.097,0.000,0.0,45.6,81.4,169.2,49.0,-0.05
1.1,SETTLE-BASELINE,-0.115,-0.018,-0.4,45.8,81.4,168.8,49.0,-0.07
2.1,SETTLE-BASELINE,-0.119,-0.022,-0.4,45.9,81.4,168.8,49.0,-0.07
3.1,SETTLE-BASELINE,-0.097,0.000,0.0,46.0,81.3,168.8,49.1,-0.07
4.1,SETTLE-BASELINE,-0.097,0.000,0.0,46.0,81.4,168.8,49.1,-0.07
5.1,SETTLE-BASELINE,-0.082,0.015,0.3,46.0,81.4,168.8,49.1,-0.07
6.1,SETTLE-BASELINE,-0.084,0.013,0.3,45.9,81.4,168.8,49.2,-0.05
7.1,SETTLE-BASELINE,-0.089,0.008,0.2,45.8,81.4,168.3,49.2,-0.05
8.1,SETTLE-BASELINE,-0.083,0.014,0.3,45.6,81.3,168.3,49.2,-0.05
9.1,SETTLE-BASELINE,-0.099,-0.002,-0.0,45.4,81.4,167.9,49.3,-0.05
10.1,SETTLE-BASELINE,-0.101,-0.004,-0.1,45.5,81.4,168.3,49.3,-0.07
11.1,SETTLE-BASELINE,-0.107,-0.010,-0.2,45.5,81.4,167.9,49.5,-0.07
12.1,SETTLE-BASELINE,-0.110,-0.013,-0.3,45.5,81.4,167.4,49.5,-0.07
13.1,SETTLE-BASELINE,-0.111,-0.014,-0.3,45.4,81.4,167.4,49.5,-0.05
14.1,SETTLE-BASELINE,-0.114,-0.017,-0.3,45.3,81.4,167.0,49.5,-0.07
15.1,SETTLE-BASELINE,-0.117,-0.020,-0.4,45.2,81.4,167.0,49.5,-0.05
16.1,SETTLE-BASELINE,-0.111,-0.014,-0.3,45.2,81.4,167.0,49.6,-0.05
17.1,SETTLE-BASELINE,-0.110,-0.013,-0.3,45.1,81.4,167.0,49.7,-0.07
18.1,SETTLE-BASELINE,-0.110,-0.013,-0.3,45.1,81.4,166.6,49.7,-0.07
19.1,SETTLE-BASELINE,-0.109,-0.012,-0.2,45.1,81.4,166.6,49.6,-0.05
20.1,SETTLE-BASELINE,-0.102,-0.005,-0.1,45.1,81.4,166.6,49.7,-0.07
21.1,SETTLE-BASELINE,-0.098,-0.001,-0.0,45.0,81.4,166.6,49.7,-0.07
22.1,SETTLE-BASELINE,-0.097,0.000,0.0,45.1,81.4,166.1,49.6,-0.05
23.1,SETTLE-BASELINE,-0.097,0.000,0.0,45.0,81.4,165.7,49.5,-0.05
24.1,SETTLE-BASELINE,-0.101,-0.004,-0.1,45.1,81.5,166.1,49.4,-0.07
25.1,SETTLE-BASELINE,-0.103,-0.006,-0.1,45.1,81.4,165.7,49.3,-0.07
26.1,SETTLE-BASELINE,-0.111,-0.014,-0.3,45.1,81.4,165.7,49.4,-0.05
27.1,SETTLE-BASELINE,-0.113,-0.016,-0.3,45.1,81.4,165.7,49.5,-0.07
28.1,SETTLE-BASELINE,-0.113,-0.016,-0.3,45.2,81.4,165.2,49.5,-0.05
29.1,SETTLE-BASELINE,-0.113,-0.016,-0.3,45.2,81.5,165.2,49.5,-0.07
# STABLE BASELINE  t=30s  weight=-0.121  delta=-0.024  pct=-0.5
30.1,WET-PREHEAT,-0.121,0.000,0.0,45.2,81.5,165.7,49.5,-0.07
31.1,WET-PREHEAT,-0.122,-0.001,-0.0,45.3,81.5,165.2,49.6,-0.07
32.1,WET-PREHEAT,-0.122,-0.001,-0.0,45.3,81.5,164.8,49.6,-0.07
33.1,WET-PREHEAT,-0.109,0.012,0.2,45.8,81.5,164.8,49.6,-0.03
34.1,WET-PREHEAT,-0.009,0.112,2.2,46.1,81.5,164.8,49.6,-0.05
35.1,WET-PREHEAT,0.018,0.139,2.8,46.4,81.6,164.8,49.7,-0.05
36.1,WET-PREHEAT,-0.023,0.098,2.0,46.5,81.6,164.3,49.8,-0.03
37.1,WET-PREHEAT,-0.022,0.099,2.0,46.7,81.6,164.8,50.2,-0.05
38.1,WET-PREHEAT,-0.017,0.104,2.1,46.7,81.6,164.3,50.2,-0.02
39.1,WET-PREHEAT,-0.024,0.097,1.9,46.8,81.6,164.8,50.0,-0.03
40.1,WET-PREHEAT,-0.022,0.099,2.0,46.9,81.6,164.3,50.2,-0.02
41.1,WET-PREHEAT,-0.026,0.095,1.9,47.0,81.6,165.2,50.1,-0.03
42.1,WET-PREHEAT,0.000,0.121,2.4,46.9,81.6,164.8,50.0,-0.05
43.1,WET-PREHEAT,0.005,0.126,2.5,46.9,81.6,164.8,49.9,-0.03
44.1,WET-PREHEAT,0.014,0.135,2.7,46.8,81.6,165.2,49.9,0.02
45.1,WET-PREHEAT,0.014,0.135,2.7,46.7,81.6,165.7,49.9,0.02
46.1,WET-PREHEAT,0.007,0.128,2.6,46.7,81.6,165.7,50.2,-0.03
47.1,WET-PREHEAT,0.000,0.121,2.4,46.6,81.6,165.2,50.3,-0.02
48.1,WET-PREHEAT,0.019,0.140,2.8,46.5,81.6,165.7,50.3,-0.02
49.1,WET-PREHEAT,0.020,0.141,2.8,46.6,81.7,165.7,50.2,-0.02
50.1,WET-PREHEAT,0.053,0.174,3.5,46.5,81.7,166.1,50.2,-0.03
51.1,WET-PREHEAT,0.051,0.172,3.4,46.5,81.7,166.1,50.3,-0.03
52.1,WET-PREHEAT,0.010,0.131,2.6,46.3,81.6,166.6,50.3,-0.02
53.1,WET-PREHEAT,-0.041,0.080,1.6,46.3,81.6,166.6,50.4,-0.03
54.1,WET-PREHEAT,-0.028,0.093,1.9,46.2,81.7,167.4,50.4,-0.02
55.1,WET-PREHEAT,-0.017,0.104,2.1,46.2,81.7,167.0,50.5,-0.03
56.1,WET-PREHEAT,-0.023,0.098,2.0,46.1,81.7,167.4,50.5,-0.03
57.1,WET-PREHEAT,-0.018,0.103,2.1,45.9,81.6,168.3,50.5,-0.02
58.1,WET-PREHEAT,-0.028,0.093,1.9,46.0,81.7,167.9,50.4,-0.02
59.1,WET-PREHEAT,-0.028,0.093,1.9,45.9,81.6,168.3,50.4,-0.02
60.1,WET-PREHEAT,0.014,0.135,2.7,45.9,81.6,168.3,50.5,-0.02
61.1,WET-PREHEAT,0.011,0.132,2.6,45.9,81.7,168.3,50.6,-0.03
62.1,WET-PREHEAT,0.017,0.138,2.8,45.9,81.7,168.8,50.7,-0.03
63.1,WET-PREHEAT,0.000,0.121,2.4,45.8,81.7,169.2,50.8,0.0
64.1,WET-PREHEAT,-0.014,0.107,2.1,45.8,81.7,168.8,50.8,-0.03
65.1,WET-PREHEAT,-0.007,0.114,2.3,45.7,81.7,169.7,50.9,-0.02
66.1,WET-PREHEAT,0.000,0.121,2.4,45.7,81.7,169.2,50.9,-0.02
67.1,WET-PREHEAT,0.006,0.127,2.5,45.7,81.7,170.2,51.0,-0.03
68.1,WET-PREHEAT,0.011,0.132,2.6,45.7,81.7,170.2,51.0,-0.02
69.1,WET-PREHEAT,0.000,0.121,2.4,45.7,81.7,170.6,51.1,0.0
70.1,WET-PREHEAT,0.010,0.131,2.6,45.7,81.7,170.6,51.1,-0.02
71.1,WET-PREHEAT,0.000,0.121,2.4,45.6,81.7,171.5,51.2,-0.02
72.1,WET-PREHEAT,0.000,0.121,2.4,45.6,81.6,171.1,51.4,-0.02
73.1,WET-PREHEAT,-0.010,0.111,2.2,45.6,81.6,171.1,51.4,-0.03
74.1,WET-PREHEAT,0.000,0.121,2.4,45.5,81.7,171.5,51.5,-0.02
75.1,WET-PREHEAT,0.005,0.126,2.5,45.6,81.7,171.9,51.6,-0.03
76.1,WET-PREHEAT,-0.009,0.112,2.2,45.6,81.7,172.4,51.5,-0.03
77.1,WET-PREHEAT,-0.009,0.112,2.2,45.5,81.7,171.9,51.6,-0.02
78.1,WET-PREHEAT,-0.022,0.099,2.0,45.5,81.7,171.9,51.7,-0.03
79.1,WET-PREHEAT,-0.028,0.093,1.9,45.3,81.7,172.4,51.7,-0.03
80.1,WET-PREHEAT,-0.022,0.099,2.0,45.4,81.7,173.3,51.8,-0.02
81.1,WET-PREHEAT,0.011,0.132,2.6,45.4,81.7,173.3,51.9,-0.03
82.1,WET-PREHEAT,0.000,0.121,2.4,45.4,81.7,173.8,51.8,-0.02
83.1,WET-PREHEAT,0.007,0.128,2.6,45.4,81.7,173.8,51.8,-0.03
84.1,WET-PREHEAT,0.000,0.121,2.4,45.4,81.7,173.8,51.8,-0.02
85.1,WET-PREHEAT,-0.009,0.112,2.2,45.5,81.7,174.2,51.9,-0.02
86.1,WET-PREHEAT,-0.009,0.112,2.2,45.4,81.8,174.2,51.9,-0.02
87.1,WET-PREHEAT,-0.016,0.105,2.1,45.4,81.8,174.2,51.9,-0.02
88.1,WET-PREHEAT,-0.015,0.106,2.1,45.4,81.7,174.7,51.9,-0.02
89.1,WET-PREHEAT,0.000,0.121,2.4,45.4,81.7,174.7,52.0,-0.02
90.1,WET-PREHEAT,-0.007,0.114,2.3,45.4,81.7,175.1,52.1,-0.03
91.1,WET-PREHEAT,-0.033,0.088,1.8,45.4,81.7,175.6,52.1,-0.02
92.1,WET-PREHEAT,-0.043,0.078,1.6,45.5,81.8,175.6,52.2,-0.03
93.1,WET-PREHEAT,-0.027,0.094,1.9,45.4,81.7,176.0,52.2,-0.05
94.1,WET-PREHEAT,-0.018,0.103,2.1,45.4,81.7,176.0,52.1,-0.02
95.1,WET-PREHEAT,0.000,0.121,2.4,45.4,81.8,176.4,52.1,0.0
96.1,WET-PREHEAT,-0.013,0.108,2.2,45.4,81.7,176.4,52.1,-0.02
97.1,WET-PREHEAT,-0.019,0.102,2.0,45.5,81.8,176.9,52.2,-0.02
98.1,WET-PREHEAT,-0.019,0.102,2.0,45.5,81.8,177.3,52.1,-0.02
99.1,WET-PREHEAT,-0.019,0.102,2.0,45.5,81.8,176.9,52.1,-0.02
100.1,WET-PREHEAT,-0.019,0.102,2.0,45.5,81.8,177.8,52.1,-0.02
101.1,WET-PREHEAT,-0.027,0.094,1.9,45.4,81.8,177.8,52.1,-0.03
102.1,WET-PREHEAT,-0.027,0.094,1.9,45.5,81.7,177.8,52.0,-0.02
103.1,WET-PREHEAT,-0.017,0.104,2.1,45.5,81.7,177.8,52.1,-0.02
104.1,WET-PREHEAT,-0.012,0.109,2.2,45.5,81.8,178.7,52.2,-0.03
105.1,WET-PREHEAT,-0.016,0.105,2.1,45.5,81.7,179.2,52.2,-0.02
106.1,WET-PREHEAT,-0.009,0.112,2.2,45.4,81.8,179.6,52.2,-0.02
107.1,WET-PREHEAT,0.000,0.121,2.4,45.5,81.8,179.2,52.2,-0.02
108.1,WET-PREHEAT,0.009,0.130,2.6,45.6,81.7,179.2,52.3,-0.02
109.1,WET-PREHEAT,0.014,0.135,2.7,45.6,81.8,179.6,52.3,-0.02
110.1,WET-PREHEAT,-0.009,0.112,2.2,45.6,81.8,180.1,52.4,-0.03
111.1,WET-PREHEAT,-0.012,0.109,2.2,45.6,81.8,180.1,52.3,-0.02
112.1,WET-PREHEAT,-0.022,0.099,2.0,45.6,81.8,180.5,52.4,-0.03
113.1,WET-PREHEAT,-0.022,0.099,2.0,45.6,81.8,180.9,52.4,-0.03
114.1,WET-PREHEAT,-0.025,0.096,1.9,45.6,81.8,180.9,52.5,-0.02
115.1,WET-PREHEAT,-0.028,0.093,1.9,45.6,81.8,180.9,52.5,0.0
116.1,WET-PREHEAT,-0.025,0.096,1.9,45.6,81.8,180.9,52.4,-0.02
117.1,WET-PREHEAT,-0.019,0.102,2.0,45.6,81.8,180.9,52.4,-0.03
118.1,WET-PREHEAT,-0.021,0.100,2.0,45.6,81.8,180.9,52.6,-0.03
119.1,WET-PREHEAT,-0.028,0.093,1.9,45.5,81.8,181.4,52.6,-0.03
