# Helios moisture-pickup test  started=20260608_115545
# specimen=5.0g  treatment=2.31ppm  species=expodry B
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,26.6,87.6,176.4,31.7,-0.08
1.1,SETTLE-BASELINE,0.000,0.000,0.0,26.6,87.6,176.0,31.7,-0.08
2.1,SETTLE-BASELINE,0.000,0.000,0.0,26.6,87.6,176.0,31.7,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,26.6,87.6,174.7,31.7,-0.07
4.1,SETTLE-BASELINE,0.000,0.000,0.0,26.6,87.6,174.7,31.7,-0.08
5.1,SETTLE-BASELINE,0.000,0.000,0.0,26.7,87.5,175.1,31.8,-0.08
6.1,SETTLE-BASELINE,0.000,0.000,0.0,26.7,87.6,175.6,31.8,-0.08
7.1,SETTLE-BASELINE,0.000,0.000,0.0,26.7,87.5,175.6,31.9,-0.08
8.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.6,175.6,31.9,-0.08
9.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,175.1,31.9,-0.08
10.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.7,32.0,-0.08
11.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,175.1,31.9,-0.08
12.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.0,-0.08
13.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.7,32.0,-0.07
14.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.0,-0.1
15.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.0,-0.05
16.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,173.8,32.0,-0.08
17.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.0,-0.08
18.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.0,-0.07
19.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,174.2,32.1,-0.08
20.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,173.8,32.1,-0.08
21.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,173.8,32.1,-0.08
22.1,SETTLE-BASELINE,0.011,0.011,0.2,26.7,87.5,173.3,32.1,-0.08
23.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.5,172.8,32.1,-0.07
24.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.5,173.8,32.1,-0.08
25.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.5,172.8,32.1,-0.08
26.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.5,173.3,32.1,-0.08
27.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.4,173.3,32.1,-0.07
28.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.4,173.3,32.2,-0.08
29.1,SETTLE-BASELINE,0.011,0.011,0.2,26.8,87.4,172.8,32.2,-0.07
# STABLE BASELINE  t=30s  weight=0.011  delta=0.011  pct=0.2
30.1,WET-PREHEAT,0.011,0.000,0.0,26.7,87.5,172.4,32.2,-0.08
31.1,WET-PREHEAT,0.011,0.000,0.0,26.7,87.4,171.9,32.2,-0.08
32.1,WET-PREHEAT,0.011,0.000,0.0,26.7,87.4,171.9,32.1,-0.02
33.1,WET-PREHEAT,0.011,0.000,0.0,26.7,87.4,171.9,31.8,-0.25
34.1,WET-PREHEAT,-0.022,-0.033,-0.7,26.6,87.4,171.5,31.7,-0.03
35.1,WET-PREHEAT,-0.052,-0.063,-1.3,26.6,87.4,171.9,31.7,-0.03
36.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.6,87.4,171.9,31.6,-0.18
37.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.6,87.4,171.9,31.7,-0.12
38.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.6,87.4,171.9,31.6,0.02
39.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.5,87.4,171.9,31.6,-0.2
40.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.5,87.4,172.4,31.5,-0.23
41.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.6,87.4,172.4,31.6,-0.12
42.1,WET-PREHEAT,-0.028,-0.039,-0.8,26.6,87.4,172.4,31.6,-0.08
43.1,WET-PREHEAT,-0.028,-0.039,-0.8,26.6,87.4,173.3,31.6,-0.12
44.1,WET-PREHEAT,-0.028,-0.039,-0.8,26.6,87.4,172.8,31.6,-0.12
45.1,WET-PREHEAT,-0.030,-0.041,-0.8,26.6,87.4,172.8,31.6,-0.08
46.1,WET-PREHEAT,-0.013,-0.024,-0.5,26.6,87.4,173.3,31.6,-0.13
47.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.7,87.3,173.8,31.6,-0.08
48.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.7,87.3,173.8,31.6,-0.07
49.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.8,87.3,173.8,31.7,-0.05
50.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.8,87.3,174.2,31.8,-0.2
51.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.9,87.3,174.7,31.8,0.03
52.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.9,87.3,174.7,31.9,-0.25
53.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.9,87.3,174.7,31.9,-0.13
54.1,WET-PREHEAT,-0.024,-0.035,-0.7,26.9,87.3,174.7,31.9,-0.22
55.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.0,87.3,175.1,32.0,-0.22
56.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.0,87.2,175.6,32.0,-0.17
57.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.0,87.3,176.0,32.1,-0.13
58.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.1,87.3,176.0,32.1,-0.13
59.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.1,87.3,176.0,32.1,-0.1
60.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.2,87.2,176.4,32.0,-0.2
61.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.1,87.2,176.4,32.1,-0.18
62.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.2,87.3,176.9,32.1,0.0
63.1,WET-PREHEAT,-0.024,-0.035,-0.7,27.2,87.2,177.3,32.2,-0.28
64.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.3,87.2,177.8,32.2,-0.07
65.1,WET-PREHEAT,-0.022,-0.033,-0.7,27.3,87.2,178.2,32.3,-0.08
66.1,WET-PREHEAT,-0.034,-0.045,-0.9,27.3,87.2,178.2,32.3,-0.12
67.1,WET-PREHEAT,-0.031,-0.042,-0.8,27.3,87.2,179.2,32.3,-0.22
68.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.3,87.2,178.7,32.3,-0.13
69.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.3,87.2,178.7,32.4,-0.2
70.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.3,87.2,179.6,32.5,-0.17
71.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.4,87.2,179.6,32.5,-0.13
72.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.4,87.2,180.1,32.5,-0.13
73.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,180.1,32.6,-0.1
74.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.4,87.2,180.5,32.6,-0.03
75.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,180.9,32.6,-0.18
76.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,180.5,32.6,-0.1
77.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,181.4,32.6,-0.15
78.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,180.9,32.7,-0.15
79.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.5,87.2,180.9,32.7,-0.1
80.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.6,87.2,181.8,32.7,-0.2
81.1,WET-PREHEAT,-0.026,-0.037,-0.7,27.6,87.2,182.8,32.8,-0.17
82.1,WET-PREHEAT,-0.038,-0.049,-1.0,27.6,87.2,182.8,32.9,-0.17
83.1,WET-PREHEAT,-0.034,-0.045,-0.9,27.6,87.2,183.2,32.8,-0.18
84.1,WET-PREHEAT,-0.041,-0.052,-1.0,27.6,87.2,183.7,32.9,-0.2
85.1,WET-PREHEAT,-0.041,-0.052,-1.0,27.6,87.2,183.7,32.9,-0.2
86.1,WET-PREHEAT,-0.042,-0.053,-1.1,27.6,87.2,183.7,32.9,-0.13
87.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.6,87.2,184.1,32.9,-0.12
88.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.7,87.2,183.7,33.0,0.1
89.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.7,87.2,185.0,33.0,-0.17
90.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.7,87.2,185.0,32.9,-0.12
91.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.7,87.2,185.0,33.0,-0.2
92.1,WET-PREHEAT,-0.039,-0.050,-1.0,27.7,87.2,185.4,33.0,-0.12
93.1,WET-PREHEAT,-0.038,-0.049,-1.0,27.7,87.1,185.0,33.0,-0.07
94.1,WET-PREHEAT,-0.033,-0.044,-0.9,27.8,87.1,186.3,33.1,0.02
95.1,WET-PREHEAT,-0.033,-0.044,-0.9,27.8,87.1,186.3,33.2,-0.2
96.1,WET-PREHEAT,-0.033,-0.044,-0.9,27.8,87.1,186.8,33.2,-0.23
97.1,WET-PREHEAT,-0.035,-0.046,-0.9,27.8,87.1,186.8,33.2,-0.22
98.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.8,87.1,187.2,33.2,-0.18
99.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.8,87.1,187.2,33.2,-0.18
100.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.8,87.1,187.2,33.1,-0.2
101.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.8,87.1,187.2,33.2,-0.22
102.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.9,87.1,187.7,33.2,-0.08
103.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.9,87.1,188.6,33.3,0.05
104.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.8,87.1,188.6,33.3,0.08
105.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.9,87.1,188.2,33.3,-0.03
106.1,WET-PREHEAT,-0.027,-0.038,-0.8,27.9,87.1,189.1,33.3,-0.18
107.1,WET-PREHEAT,-0.034,-0.045,-0.9,27.8,87.1,189.5,33.3,-0.05
108.1,WET-PREHEAT,-0.050,-0.061,-1.2,27.9,87.1,189.5,33.4,0.05
