# Helios moisture-pickup test  started=20260608_134113
# specimen=5.0g  treatment=untreated  species=800 GGD
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,31.7,77.9,182.3,36.6,-0.07
1.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,182.8,36.7,-0.05
2.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,182.8,36.6,-0.07
3.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,182.3,36.6,-0.07
4.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,182.3,36.7,-0.07
5.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.8,182.3,36.6,-0.07
6.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,181.4,36.6,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.8,182.3,36.6,-0.05
8.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,181.8,36.6,-0.07
9.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.7,-0.05
10.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,181.8,36.7,-0.05
11.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.6,-0.05
12.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,181.4,36.7,-0.05
13.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.7,-0.05
14.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.8,180.5,36.7,-0.05
15.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.7,-0.07
16.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.8,180.5,36.7,-0.05
17.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.8,180.5,36.7,-0.05
18.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.5,36.7,-0.07
19.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.7,-0.07
20.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.5,36.8,-0.05
21.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.5,36.7,-0.08
22.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.9,36.8,-0.07
23.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.1,36.8,-0.07
24.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,180.5,36.7,-0.05
25.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,179.2,36.7,-0.07
26.1,SETTLE-BASELINE,0.000,0.000,0.0,31.6,77.9,179.2,36.8,-0.05
27.1,SETTLE-BASELINE,0.000,0.000,0.0,31.7,77.9,179.2,36.7,-0.05
28.1,SETTLE-BASELINE,0.000,0.000,0.0,31.7,77.9,179.2,36.8,-0.07
29.1,SETTLE-BASELINE,0.000,0.000,0.0,31.7,77.9,178.7,36.8,-0.05
# STABLE BASELINE  t=30s  weight=0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,0.000,0.000,0.0,31.7,77.9,178.7,36.8,-0.05
31.1,WET-PREHEAT,0.000,0.000,0.0,31.7,77.9,178.2,36.8,-0.05
32.1,WET-PREHEAT,0.000,0.000,0.0,31.7,78.0,178.2,36.7,-0.17
33.1,WET-PREHEAT,0.000,0.000,0.0,31.7,78.0,177.8,36.6,-0.1
34.1,WET-PREHEAT,-0.041,-0.041,-0.8,31.7,78.1,177.8,36.7,-0.13
35.1,WET-PREHEAT,-0.057,-0.057,-1.1,31.7,78.0,177.3,36.8,-0.07
36.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.7,78.1,177.8,36.8,-0.18
37.1,WET-PREHEAT,-0.016,-0.016,-0.3,31.7,78.1,177.8,36.6,-0.18
38.1,WET-PREHEAT,-0.016,-0.016,-0.3,31.7,78.1,178.2,36.7,-0.18
39.1,WET-PREHEAT,-0.021,-0.021,-0.4,31.6,78.1,178.2,36.6,-0.07
40.1,WET-PREHEAT,-0.031,-0.031,-0.6,31.6,78.1,178.7,36.6,-0.07
41.1,WET-PREHEAT,-0.031,-0.031,-0.6,31.6,78.2,178.2,36.6,-0.15
42.1,WET-PREHEAT,-0.031,-0.031,-0.6,31.6,78.2,178.7,36.6,-0.1
43.1,WET-PREHEAT,-0.031,-0.031,-0.6,31.6,78.2,178.7,36.6,-0.17
44.1,WET-PREHEAT,-0.031,-0.031,-0.6,31.6,78.2,178.7,36.6,-0.17
45.1,WET-PREHEAT,-0.041,-0.041,-0.8,31.6,78.2,178.7,36.6,-0.07
46.1,WET-PREHEAT,-0.044,-0.044,-0.9,31.6,78.2,179.6,36.6,-0.08
47.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.2,178.7,36.6,-0.13
48.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.2,178.7,36.6,-0.17
49.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.2,179.6,36.6,-0.07
50.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.2,179.2,36.6,0.07
51.1,WET-PREHEAT,-0.039,-0.039,-0.8,31.6,78.2,179.6,36.7,-0.1
52.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.2,180.5,36.6,-0.1
53.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.3,180.5,36.6,-0.03
54.1,WET-PREHEAT,-0.041,-0.041,-0.8,31.6,78.2,180.5,36.6,-0.15
55.1,WET-PREHEAT,-0.041,-0.041,-0.8,31.6,78.2,180.1,36.6,-0.17
56.1,WET-PREHEAT,-0.036,-0.036,-0.7,31.6,78.3,181.4,36.7,-0.03
57.1,WET-PREHEAT,-0.038,-0.038,-0.8,31.6,78.3,181.4,36.7,-0.12
58.1,WET-PREHEAT,-0.038,-0.038,-0.8,31.6,78.3,181.4,36.7,-0.12
59.1,WET-PREHEAT,-0.040,-0.040,-0.8,31.6,78.3,181.4,36.7,-0.13
60.1,WET-PREHEAT,-0.040,-0.040,-0.8,31.6,78.3,181.8,36.8,-0.17
