# Helios moisture-pickup test  started=20260612_124207
# sample_id=sample  specimen=3.0g  treatment=No Treatment - Frame G  species=800 GGD  ppm=
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.064,0.000,0.0,33.8,76.5,185.4,38.4,-0.05
1.1,SETTLE-BASELINE,0.000,-0.064,-2.1,33.8,76.6,185.0,38.4,-0.07
2.1,SETTLE-BASELINE,0.000,-0.064,-2.1,33.8,76.6,184.6,38.5,-0.05
3.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.8,76.5,184.6,38.3,-0.07
4.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.7,76.6,185.0,38.2,-0.05
5.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.6,76.6,184.6,38.1,-0.05
6.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.4,76.6,184.6,37.9,-0.03
7.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.3,76.5,185.0,37.9,-0.05
8.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.2,76.5,183.7,37.7,-0.07
9.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.1,76.6,183.2,37.7,-0.05
10.1,SETTLE-BASELINE,0.004,-0.060,-2.0,33.0,76.5,184.1,37.6,-0.05
11.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.9,76.5,183.2,37.5,-0.07
12.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.9,76.5,183.7,37.5,-0.07
13.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.9,76.5,183.7,37.5,-0.05
14.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.8,76.5,183.7,37.6,-0.05
15.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.8,76.5,183.2,37.5,-0.05
16.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.8,76.5,183.7,37.5,-0.07
17.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.8,76.6,182.8,37.5,-0.07
18.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.8,76.6,183.7,37.5,-0.05
19.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.7,76.5,182.3,37.5,-0.05
20.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.7,76.5,182.8,37.5,-0.05
21.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.6,76.5,182.8,37.5,-0.05
22.1,SETTLE-BASELINE,0.004,-0.060,-2.0,32.6,76.5,182.8,37.6,-0.07
