# Helios moisture-pickup test  started=20260612_142940
# sample_id=sample  specimen=3.0g  treatment=DWR - Frame F  species=800 GGD  ppm=
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.001,0.000,0.0,29.5,84.3,175.1,34.8,-0.08
1.1,SETTLE-BASELINE,0.001,0.000,0.0,29.6,84.3,174.7,34.9,-0.08
2.1,SETTLE-BASELINE,0.001,0.000,0.0,29.6,84.3,174.7,35.0,-0.07
3.1,SETTLE-BASELINE,0.001,0.000,0.0,29.7,84.2,175.1,34.9,-0.07
4.1,SETTLE-BASELINE,0.001,0.000,0.0,29.7,84.2,175.1,34.9,-0.08
5.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,174.7,34.9,-0.08
6.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,175.1,34.9,-0.08
7.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,174.2,34.8,-0.07
8.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,174.2,34.7,-0.05
9.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,173.8,34.7,-0.07
10.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,173.8,34.7,-0.07
11.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,174.2,34.7,-0.07
12.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,174.2,34.7,-0.08
13.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.2,173.8,34.8,-0.07
14.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,173.8,34.8,-0.07
15.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,173.3,34.8,-0.07
16.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.2,174.2,34.8,-0.07
17.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,172.4,34.8,-0.08
18.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,173.3,34.9,-0.07
19.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,173.8,34.8,-0.07
20.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,172.8,34.8,-0.07
21.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,172.8,34.7,-0.08
22.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,172.4,34.7,-0.08
23.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.0,172.4,34.8,-0.07
24.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,171.9,34.8,-0.07
25.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,171.9,34.8,-0.08
26.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,172.4,34.8,-0.07
27.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,172.8,34.8,-0.08
28.1,SETTLE-BASELINE,0.001,0.000,0.0,29.9,84.1,171.9,34.8,-0.08
29.1,SETTLE-BASELINE,0.001,0.000,0.0,29.8,84.1,171.1,34.8,-0.07
# STABLE BASELINE  t=30s  weight=-0.013  delta=-0.014  pct=-0.5
30.1,WET-PREHEAT,-0.013,0.000,0.0,29.9,84.0,172.4,34.7,-0.07
31.1,WET-PREHEAT,-0.013,0.000,0.0,29.9,84.0,170.6,34.8,-0.15
32.1,WET-PREHEAT,-0.013,0.000,0.0,29.8,84.0,170.2,34.6,-0.73
33.1,WET-PREHEAT,-0.022,-0.009,-0.3,29.7,84.0,171.1,34.6,-0.58
34.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.6,84.0,170.6,34.5,-0.55
35.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.6,84.0,170.6,34.4,-0.62
36.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.6,84.0,171.5,34.2,-0.63
37.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.5,84.0,171.1,34.3,-0.53
38.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.5,83.9,171.5,34.3,-0.53
39.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.5,83.9,171.5,34.3,-0.65
40.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.6,83.9,171.9,34.3,-0.77
41.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.6,83.9,171.1,34.3,-0.58
42.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.7,83.9,171.5,34.4,-0.53
43.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.7,83.9,171.1,34.5,-0.68
44.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.8,83.9,171.5,34.5,-0.67
45.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.8,83.9,171.9,34.6,-0.73
46.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.9,83.8,171.9,34.7,-0.67
47.1,WET-PREHEAT,-0.050,-0.037,-1.2,29.9,83.8,171.9,34.6,-0.7
48.1,WET-PREHEAT,-0.049,-0.036,-1.2,29.9,83.8,171.9,34.7,-0.57
49.1,WET-PREHEAT,-0.056,-0.043,-1.4,30.0,83.9,172.4,34.8,-0.57
50.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.0,83.8,172.4,34.8,-0.47
51.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.0,83.8,172.4,35.0,-0.6
52.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.0,83.8,173.3,35.0,-0.6
53.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.1,83.8,173.3,35.0,-0.78
54.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.2,83.8,173.8,35.0,-0.52
55.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.2,83.8,173.3,35.0,-0.68
56.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.2,83.8,173.8,35.1,-0.75
57.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.2,83.8,174.7,35.0,-0.73
58.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.3,83.8,173.8,35.2,-0.5
59.1,WET-PREHEAT,-0.046,-0.033,-1.1,30.3,83.8,174.7,35.2,-0.75
60.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.2,83.8,174.7,35.2,-0.78
61.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.3,83.8,175.1,35.3,-0.45
62.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.3,83.8,175.6,35.4,-0.53
63.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.4,83.8,175.1,35.4,-0.47
64.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.4,83.7,175.6,35.4,-0.45
65.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.4,83.7,176.0,35.4,-0.45
66.1,WET-PREHEAT,-0.060,-0.047,-1.6,30.4,83.7,176.0,35.5,-0.67
67.1,WET-PREHEAT,-0.058,-0.045,-1.5,30.4,83.7,176.4,35.5,-0.78
68.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.4,83.8,176.4,35.6,-0.63
69.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.4,83.8,176.0,35.6,-0.72
70.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.4,83.8,176.9,35.7,-0.7
71.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,177.8,35.7,-0.85
72.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,177.3,35.8,-0.38
73.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,177.3,35.7,-0.75
74.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,177.8,35.8,-0.63
75.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,177.8,35.9,-0.67
76.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,178.7,35.9,-0.53
77.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,179.2,35.9,-0.55
78.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,179.2,35.9,-0.82
79.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.5,83.7,179.2,35.9,-0.82
80.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,179.2,36.0,-0.9
81.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,179.2,36.0,-0.8
82.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,180.1,36.0,-0.6
83.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,179.6,36.1,-0.68
84.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,180.1,36.2,-0.48
85.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,180.1,36.1,-0.67
86.1,WET-PREHEAT,-0.054,-0.041,-1.4,30.6,83.7,180.5,36.2,-0.4
87.1,WET-PREHEAT,-0.053,-0.040,-1.3,30.6,83.7,180.9,36.2,-0.75
88.1,WET-PREHEAT,-0.061,-0.048,-1.6,30.6,83.7,181.4,36.4,-0.67
89.1,WET-PREHEAT,-0.061,-0.048,-1.6,30.7,83.7,181.4,36.3,-0.48
90.1,WET-PREHEAT,-0.061,-0.048,-1.6,30.7,83.7,181.4,36.4,-0.82
