# Helios moisture-pickup test  started=20260612_184523
# sample_id=sample  specimen=3.0g  treatment=Frame C  species=800 GGD  ppm=
# target_rh=80.0%  wet=60min  dry=30min  dry_to_rh=35.0%  settle_every=300s
elapsed_s,phase,weight_g,delta_g,pct_of_dry,chamber_rh,chamber_f,puck_f,column_rh,pressure_pa
0.1,SETTLE-BASELINE,0.000,0.000,0.0,35.3,76.1,180.5,39.2,-0.03
1.1,SETTLE-BASELINE,-0.004,-0.004,-0.1,35.3,76.1,178.2,39.2,-0.07
2.1,SETTLE-BASELINE,-0.001,-0.001,-0.0,35.2,76.0,178.2,39.1,-0.05
3.1,SETTLE-BASELINE,0.000,0.000,0.0,35.1,76.1,179.2,39.2,-0.05
4.1,SETTLE-BASELINE,0.000,0.000,0.0,35.1,76.1,178.2,39.2,-0.05
5.1,SETTLE-BASELINE,0.000,0.000,0.0,35.0,76.1,178.2,39.3,-0.05
6.1,SETTLE-BASELINE,0.000,0.000,0.0,35.0,76.1,178.7,39.2,-0.07
7.1,SETTLE-BASELINE,0.000,0.000,0.0,34.9,76.1,177.8,39.2,-0.05
8.1,SETTLE-BASELINE,0.000,0.000,0.0,34.9,76.1,178.7,39.3,-0.05
9.1,SETTLE-BASELINE,0.000,0.000,0.0,34.8,76.1,178.2,39.2,-0.07
10.1,SETTLE-BASELINE,0.000,0.000,0.0,34.8,76.0,177.8,39.2,-0.07
11.1,SETTLE-BASELINE,0.000,0.000,0.0,34.8,76.0,177.8,39.2,-0.07
12.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,177.3,39.2,-0.05
13.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,177.8,39.2,-0.07
14.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,177.3,39.2,-0.05
15.1,SETTLE-BASELINE,0.000,0.000,0.0,34.6,76.1,177.3,39.2,-0.05
16.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,177.3,39.2,-0.05
17.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.4,39.2,-0.05
18.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,177.8,39.1,-0.05
19.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,177.3,39.3,-0.05
20.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,176.4,39.2,-0.05
21.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,176.4,39.1,-0.07
22.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.4,39.2,-0.05
23.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.4,39.2,-0.05
24.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.9,39.2,-0.05
25.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.9,39.2,-0.05
26.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.0,39.2,-0.05
27.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.1,176.0,39.2,-0.07
28.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.0,39.2,-0.07
29.1,SETTLE-BASELINE,0.000,0.000,0.0,34.7,76.0,176.0,39.3,-0.03
# STABLE BASELINE  t=30s  weight=0.000  delta=0.000  pct=0.0
30.1,WET-PREHEAT,0.000,0.000,0.0,34.7,76.1,175.1,39.2,-0.07
31.1,WET-PREHEAT,0.000,0.000,0.0,34.7,76.0,173.8,39.3,-0.07
32.1,WET-PREHEAT,0.000,0.000,0.0,34.7,76.1,174.2,39.3,-0.57
33.1,WET-PREHEAT,-0.022,-0.022,-0.7,34.7,76.1,174.2,39.4,-0.73
34.1,WET-PREHEAT,-0.037,-0.037,-1.2,34.7,76.1,174.2,39.3,-0.62
35.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,174.7,39.5,-0.53
36.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,174.2,39.5,-0.57
37.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,174.2,39.5,-0.63
38.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,173.8,39.5,-0.63
39.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.0,173.8,39.5,-0.58
40.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,174.7,39.6,-0.42
41.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.0,174.7,39.5,-0.28
42.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.0,174.7,39.5,-0.4
43.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.0,174.7,39.5,-0.63
44.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.8,76.1,175.1,39.4,-0.72
45.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.7,76.0,175.1,39.5,-0.6
46.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.7,76.0,175.1,39.5,-0.52
47.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.7,76.0,175.1,39.5,-0.72
48.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.6,76.1,175.1,39.5,-0.58
49.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.5,76.1,175.6,39.5,-0.68
50.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.6,76.1,176.0,39.5,-0.55
51.1,WET-PREHEAT,-0.041,-0.041,-1.4,34.5,76.1,175.6,39.5,-0.55
52.1,WET-PREHEAT,-0.030,-0.030,-1.0,34.5,76.1,175.6,39.5,-0.27
53.1,WET-PREHEAT,-0.028,-0.028,-0.9,34.5,76.0,175.1,39.6,-0.68
54.1,WET-PREHEAT,-0.028,-0.028,-0.9,34.4,76.0,176.0,39.5,-0.82
55.1,WET-PREHEAT,-0.028,-0.028,-0.9,34.4,76.1,176.9,39.6,-0.78
56.1,WET-PREHEAT,-0.025,-0.025,-0.8,34.3,76.0,176.4,39.5,-0.67
57.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.3,76.0,176.9,39.4,-0.72
58.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.3,76.0,176.9,39.6,-0.5
59.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.3,76.1,177.3,39.6,-0.45
60.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.3,76.0,177.8,39.6,-0.6
61.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.1,177.8,39.6,-0.75
62.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.0,178.2,39.7,-0.65
63.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.1,177.8,39.6,-0.73
64.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.1,178.7,39.6,-0.63
65.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.1,178.2,39.6,-0.63
66.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.2,76.0,178.2,39.7,-0.67
67.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.0,178.7,39.7,-0.78
68.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.1,178.2,39.7,-0.5
69.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.0,179.2,39.8,-0.68
70.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.1,179.6,39.8,-0.72
71.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,179.6,39.8,-0.65
72.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.1,180.1,39.9,-0.57
73.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.1,76.1,180.5,39.9,-0.53
74.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.0,180.9,39.9,-0.78
75.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.0,180.9,39.9,-0.7
76.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.0,180.9,40.0,-0.7
77.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,181.4,40.0,-0.53
78.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,180.9,40.0,-0.53
79.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,180.9,39.9,-0.73
80.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,181.8,40.0,-0.7
81.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.0,181.8,40.0,-0.7
82.1,WET-PREHEAT,-0.020,-0.020,-0.7,34.0,76.1,181.8,40.1,-0.7
83.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,181.8,40.0,-0.6
84.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,182.8,40.1,-0.6
85.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,182.8,40.1,-0.83
86.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,182.8,40.1,-0.5
87.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,183.2,40.1,-0.8
88.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.0,182.8,40.1,-0.58
89.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,183.2,40.2,-0.5
90.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,184.6,40.2,-0.5
91.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,184.6,40.2,-0.6
92.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.9,76.1,183.7,40.2,-0.6
93.1,WET-PREHEAT,-0.024,-0.024,-0.8,33.9,76.1,183.7,40.2,-0.45
94.1,WET-PREHEAT,-0.025,-0.025,-0.8,33.9,76.1,184.1,40.1,-0.8
95.1,WET-PREHEAT,-0.025,-0.025,-0.8,33.8,76.1,185.0,40.2,-0.7
96.1,WET-PREHEAT,-0.025,-0.025,-0.8,33.8,76.1,185.4,40.3,-0.48
97.1,WET-PREHEAT,-0.025,-0.025,-0.8,33.8,76.1,185.9,40.3,-0.83
98.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,185.4,40.3,-0.75
99.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,185.9,40.4,-0.48
100.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,185.9,40.4,-0.65
101.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,185.9,40.4,-0.52
102.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.8,76.1,185.9,40.4,-0.48
103.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,187.2,40.4,-0.67
104.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,186.3,40.4,-0.78
105.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,187.2,40.4,-0.78
106.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,187.2,40.5,-0.6
107.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,187.2,40.5,-0.53
108.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.7,76.1,187.7,40.4,-0.63
109.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,187.2,40.6,-0.6
110.1,WET-PREHEAT,-0.014,-0.014,-0.5,33.8,76.1,187.7,40.5,-0.75
111.1,WET-PREHEAT,-0.016,-0.016,-0.5,33.7,76.1,189.1,40.5,-0.52
112.1,WET-PREHEAT,-0.016,-0.016,-0.5,33.7,76.1,188.6,40.6,-0.7
113.1,WET-PREHEAT,-0.029,-0.029,-1.0,33.7,76.1,188.6,40.6,-0.65
114.1,WET-PREHEAT,-0.029,-0.029,-1.0,33.7,76.1,189.5,40.5,-0.57
115.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,189.1,40.6,-0.67
116.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.8,76.1,189.5,40.7,-0.73
117.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,189.9,40.6,-0.68
118.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,190.4,40.7,-0.75
119.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,190.4,40.7,-0.75
120.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,190.4,40.7,-0.57
121.1,WET-PREHEAT,-0.018,-0.018,-0.6,33.7,76.1,189.9,40.7,-0.52
122.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,190.8,40.7,-0.6
123.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,190.4,40.8,-0.62
124.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,190.8,40.7,-0.6
125.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.7,76.1,191.8,40.7,-0.8
126.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.8,76.1,191.8,40.7,-0.42
127.1,WET-PREHEAT,-0.020,-0.020,-0.7,33.7,76.1,191.3,40.8,-0.85
128.1,WET-PREHEAT,-0.012,-0.012,-0.4,33.7,76.1,191.8,40.8,-0.72
129.1,WET-PREHEAT,-0.022,-0.022,-0.7,33.7,76.1,192.2,40.8,-0.93
130.1,WET-PREHEAT,-0.023,-0.023,-0.8,33.7,76.1,192.7,40.8,-0.6
131.1,WET-PREHEAT,-0.023,-0.023,-0.8,33.7,76.1,192.2,40.9,-0.57
132.1,WET-PREHEAT,-0.023,-0.023,-0.8,33.7,76.1,193.1,40.9,-0.57
133.1,WET-PREHEAT,-0.011,-0.011,-0.4,33.7,76.1,193.1,41.0,-0.67
134.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,193.1,41.0,-0.68
135.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,193.6,41.0,-0.8
136.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,193.6,40.9,-0.55
137.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,193.6,40.9,-0.35
138.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,193.6,41.0,-0.58
139.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.6,76.1,193.6,41.0,-0.57
140.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,194.0,41.0,-0.58
141.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,194.0,41.0,-0.58
142.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,195.3,41.1,-0.58
143.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.2,195.3,41.0,-0.73
144.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,195.3,41.2,-0.67
145.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,195.3,41.1,-0.47
146.1,WET-PREHEAT,-0.010,-0.010,-0.3,33.7,76.1,195.8,41.1,-0.47
